"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
5.000000000000e-01, 2.026398787272e+01, -1.524750747054e-08, 0.000000000000e+00, 2.026398787272e+01, 5.065996968181e+00, 5.065996968181e+00, 1.033753347435e-13, 1.823758908545e-08, 7.392237542573e-24, 2.481008033845e-22
1.000000000000e+00, 4.451127713136e+01, -3.189726735561e-08, 0.000000000000e+00, 4.451127713136e+01, 1.112781928284e+01, 1.112781928284e+01, -4.937994060703e-13, 4.006014941823e-08, 9.525153421652e-24, -1.185118574569e-21
1.500000000000e+00, 6.939483932523e+01, -4.873857973977e-08, 0.000000000000e+00, 6.939483932523e+01, 1.734870983131e+01, 1.734870983131e+01, -1.179659115621e-13, 6.245535539271e-08, -1.500324147294e-24, -2.831181877491e-22
2.000000000000e+00, 9.437689629147e+01, -6.560843344817e-08, 0.000000000000e+00, 9.437689629147e+01, 2.359422407287e+01, 2.359422407287e+01, 1.386787298089e-13, 8.493920666232e-08, -2.733376529932e-23, 3.328289515414e-22
2.500000000000e+00, 1.193741326831e+02, -8.248264265860e-08, 0.000000000000e+00, 1.193741326831e+02, 2.984353317078e+01, 2.984353317078e+01, -1.475806013821e-13, 1.074367194148e-07, -6.258340451979e-24, -3.541934433170e-22
3.000000000000e+00, 1.443737070567e+02, -9.935752094630e-08, 0.000000000000e+00, 1.443737070567e+02, 3.609342676418e+01, 3.609342676418e+01, 1.094716871807e-13, 1.299363363511e-07, -2.097704863522e-23, 2.627320492336e-22
3.500000000000e+00, 1.693736415061e+02, -1.162325022048e-07, 0.000000000000e+00, 1.693736415061e+02, 4.234341037652e+01, 4.234341037652e+01, 1.394568348722e-14, 1.524362773555e-07, -4.170727838071e-23, 3.346964036932e-23
4.000000000000e+00, 1.943736314107e+02, -1.331074993185e-07, 0.000000000000e+00, 1.943736314107e+02, 4.859340785266e+01, 4.859340785266e+01, 1.547553833334e-13, 1.749362682696e-07, -2.066095924709e-23, 3.714129200000e-22
4.500000000000e+00, 2.193736298559e+02, -1.499824988740e-07, 0.000000000000e+00, 2.193736298559e+02, 5.484340746396e+01, 5.484340746396e+01, 4.832335231866e-13, 1.974362668703e-07, -6.112960144575e-24, 1.159760455648e-21
5.000000000000e+00, 2.443736296164e+02, -1.668574988056e-07, 0.000000000000e+00, 2.443736296164e+02, 6.109340740410e+01, 6.109340740410e+01, 2.102787489278e-13, 2.199362666548e-07, 3.077731330376e-23, 5.046689974267e-22
