NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
37, 0.000000000000e+00, 0.000000000000e+00, -1.249999999999e-01, -1.079097273760e-07, 2.864100738983e-10, -1.450542039878e-08, -3.436313515219e-07, -7.462623786672e-09, -9.999999999995e+05, 9.999999999993e-03, 3.436920886779e-17, -1.740650447853e-15, 9.999999999979e-03, -8.955148544006e-16, -4.999999999997e-02
38, 1.000000000010e-01, 9.999999999863e-02, -1.249999999995e-01, 1.132493101371e-06, 7.476959348730e-08, -1.220124984843e-07, -1.224104683691e-06, 1.793330626745e-07, -9.999999999983e+05, 1.000000000005e-02, 8.972351218476e-15, -1.464149981811e-14, 9.999999999910e-03, 2.151996752094e-14, -4.999999999991e-02
39, 1.000000000008e-01, 9.999999999892e-02, -2.499999999991e-01, 7.743817857570e-07, -2.090157072626e-07, 1.580786845302e-07, -6.520907239368e-07, 1.781127328959e-07, -9.999999999978e+05, 1.000000000002e-02, -2.508188487152e-14, 1.896944214362e-14, 9.999999999937e-03, 2.137352794751e-14, -4.999999999989e-02
40, 1.000000000005e-01, 9.999999999896e-02, -3.749999999990e-01, 5.976840232809e-07, -4.636530357180e-08, 3.003635149243e-07, -6.389222107828e-07, 2.303847699034e-07, -9.999999999978e+05, 1.000000000001e-02, -5.563836428616e-15, 3.604362179092e-14, 9.999999999940e-03, 2.764617238841e-14, -4.999999999989e-02
41, 0.000000000000e+00, 1.000000000000e-01, -3.750000000001e-01, 1.241683882351e-06, 1.077600585924e-08, 1.477117039794e-08, 5.562712127964e-09, 1.140166279291e-07, -9.999999999998e+05, 1.000000000006e-02, 1.293120703109e-15, 1.772540447753e-15, 9.999999999986e-03, 1.368199535149e-14, -5.000000000000e-02
42, 0.000000000000e+00, 9.999999999987e-02, -2.500000000001e-01, 1.574093605288e-06, 6.882652801882e-08, -3.155475897057e-08, -8.416181016299e-08, 4.636209112092e-08, -9.999999999999e+05, 1.000000000008e-02, 8.259183362258e-15, -3.786571076469e-15, 9.999999999979e-03, 5.563450934511e-15, -5.000000000001e-02
43, 0.000000000000e+00, 9.999999999978e-02, -1.250000000001e-01, 2.021443409224e-06, 5.954751545251e-08, -2.225746593205e-08, -1.550826709718e-07, 2.800421931385e-08, -1.000000000000e+06, 1.000000000010e-02, 7.145701854302e-15, -2.670895911846e-15, 9.999999999972e-03, 3.360506317662e-15, -5.000000000002e-02
44, 4.418725957889e-02, 4.972251362332e-02, -4.999999999997e-01, -8.368410934240e-07, -2.560142343255e-07, -6.581570521249e-09, -5.993172705460e-07, -2.280308835868e-08, -1.000000000000e+06, 9.999999999964e-03, -3.072170811906e-14, -7.897884625499e-16, 9.999999999978e-03, -2.736370603041e-15, -4.999999999998e-02
45, 3.998662542280e-02, 7.426298142458e-02, -4.999999999998e-01, -3.731991641988e-07, -2.321095224261e-07, -1.140015417655e-08, -1.567994984679e-07, -8.156934811241e-08, -1.000000000000e+06, 9.999999999983e-03, -2.785314269113e-14, -1.368018501187e-15, 9.999999999996e-03, -9.788321773489e-15, -4.999999999999e-02
46, 6.686870171150e-02, 2.138156420045e-02, -4.999999999995e-01, -9.322432257856e-07, -1.406932115660e-07, -5.424624869669e-08, -1.299174618907e-06, -6.104516005344e-08, -1.000000000000e+06, 9.999999999967e-03, -1.688318538792e-14, -6.509549843603e-15, 9.999999999945e-03, -7.325419206413e-15, -4.999999999998e-02
47, 8.306094644166e-02, 3.651556861662e-02, -4.999999999994e-01, -7.903605971175e-07, -2.304655429653e-07, -8.156814344333e-08, -1.904582556260e-06, -9.686744076618e-08, -1.000000000000e+06, 9.999999999980e-03, -2.765586515583e-14, -9.788177213199e-15, 9.999999999913e-03, -1.162409289194e-14, -4.999999999997e-02
48, 3.996040240318e-02, 2.559186234075e-02, -4.999999999997e-01, -1.204069445117e-06, -1.258419005575e-07, -5.376938044116e-08, -4.837328257660e-07, -4.839798186703e-08, -1.000000000000e+06, 9.999999999946e-03, -1.510102806690e-14, -6.452325652939e-15, 9.999999999989e-03, -5.807757824044e-15, -4.999999999999e-02
49, 7.891241338911e-02, 5.910390710624e-02, -4.999999999995e-01, -5.863971420608e-07, -4.072261638900e-07, -3.936462735362e-08, -1.718078800921e-06, -1.854278277441e-07, -1.000000000000e+06, 9.999999999988e-03, -4.886713966680e-14, -4.723755282435e-15, 9.999999999920e-03, -2.225133932929e-14, -4.999999999998e-02
50, 7.200461764457e-02, 8.213735609316e-02, -4.999999999995e-01, -2.554533744438e-07, -3.280235803597e-07, -1.399648786788e-08, -9.428392837031e-07, -2.119433743734e-07, -1.000000000000e+06, 9.999999999997e-03, -3.936282964316e-14, -1.679578544146e-15, 9.999999999955e-03, -2.543320492481e-14, -4.999999999999e-02
51, 5.774960429694e-02, 6.192010943305e-02, -4.999999999996e-01, -6.299233064055e-07, -3.666647838526e-07, -6.429009110790e-08, -7.515052510869e-07, -1.874334296676e-07, -9.999999999998e+05, 9.999999999974e-03, -4.399977406232e-14, -7.714810932948e-15, 9.999999999967e-03, -2.249201156012e-14, -4.999999999998e-02
52, 6.127040566028e-02, 4.118605240569e-02, -4.999999999996e-01, -9.077009356891e-07, -2.964413533319e-07, -7.503594582101e-08, -1.109192574707e-06, -4.044700531293e-08, -1.000000000000e+06, 9.999999999966e-03, -3.557296239983e-14, -9.004313498521e-15, 9.999999999954e-03, -4.853640637551e-15, -4.999999999998e-02
53, 1.664086170350e-02, 7.939298569962e-02, -5.000000000000e-01, -2.429766867023e-07, -3.050840663165e-08, 5.609402573253e-08, -5.901734440182e-08, 1.338109347922e-10, -1.000000000000e+06, 9.999999999990e-03, -3.661008795798e-15, 6.731283087904e-15, 1.000000000000e-02, 1.605731217507e-17, -5.000000000001e-02
54, 8.498592963031e-02, 1.657942656335e-02, -4.999999999993e-01, -4.083814212319e-07, -1.798222130789e-07, -5.129480944937e-08, -1.809271369976e-06, -8.949793242366e-08, -9.999999999999e+05, 9.999999999997e-03, -2.157866556947e-14, -6.155377133924e-15, 9.999999999913e-03, -1.073975189084e-14, -4.999999999997e-02
55, 2.189644987258e-02, 5.235290615554e-02, -4.999999999999e-01, -1.055485485360e-06, -1.290161317679e-07, -4.699367749760e-11, -2.184182775613e-07, -9.549133800879e-09, -1.000000000000e+06, 9.999999999951e-03, -1.548193581215e-14, -5.639241299712e-18, 1.000000000000e-02, -1.145896056105e-15, -5.000000000000e-02
56, 1.447614204590e-02, 2.549079474945e-02, -4.999999999998e-01, -1.478602320680e-06, -6.920720263021e-08, -3.216010302112e-08, -4.710940023263e-08, 2.419858937716e-08, -1.000000000000e+06, 9.999999999928e-03, -8.304864315625e-15, -3.859212362535e-15, 1.000000000001e-02, 2.903830725259e-15, -4.999999999999e-02
