"TIME", "TEMPERATURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "DISPLACEMENT_Z1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XZ", "STRESS_YZ", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY", "STRAIN_ZZ", "STRAIN_XZ", "STRAIN_YZ", "STRAIN_PLS"
0.000000000000e+00, 2.981500000000e+02, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e-01, 2.981499930214e+02, 1.244891427240e-10, -4.570367790651e-09, -2.324653583938e-08, -9.448945224753e+04, -2.561061161170e+05, -9.385593703246e+04, 1.470863234770e+00, -1.452267892771e+01, 1.004006416319e-10, 3.167577677050e-11, -8.210026123925e-06, 3.228297356700e-08, 1.494397046526e-10, -1.475504179055e-09, 0.000000000000e+00
2.000000000000e-01, 2.981500460543e+02, 1.150934367289e-10, -1.533438186712e-08, -1.275071668640e-08, -1.270274006486e+05, -3.440405896128e+05, -1.264638209483e+05, -8.355689180874e-01, 2.165524413359e-01, 9.493318182865e-11, -2.308878705928e-11, -1.102417506620e-05, 2.872478195732e-08, -8.489380207768e-11, 2.200172803973e-11, 0.000000000000e+00
3.000000000000e-01, 2.981498598797e+02, 3.715515816026e-11, -1.817823283536e-08, -1.022060470018e-08, -1.524038107184e+05, -4.124542357260e+05, -1.520425951215e+05, -2.747691509695e+00, -2.139715349008e+01, -1.878342062586e-11, -3.958895215784e-10, -1.321058037381e-05, 1.833096889927e-08, -2.791654573850e-10, -2.173950794592e-09, 0.000000000000e+00
4.000000000000e-01, 2.981499563450e+02, 5.894044346851e-11, -1.733731891088e-08, -7.606268218743e-09, -1.741910655518e+05, -4.710771577792e+05, -1.740078114856e+05, -1.192778939338e+00, -4.073547529689e+01, 4.713235305919e-12, -4.649200869504e-10, -1.508180877192e-05, 9.314019797708e-09, -1.211863402368e-10, -4.138724290164e-09, 0.000000000000e+00
5.000000000000e-01, 2.981502850537e+02, 1.886428073404e-10, -1.513996866399e-08, -4.908768986447e-09, -1.935767406572e+05, -5.233057126245e+05, -1.935250364862e+05, 2.451666642699e+00, -5.322163462206e+01, 1.271534182460e-10, -5.433815169039e-11, -1.675010462252e-05, 2.753725304161e-09, 2.490893308983e-10, -5.407318077601e-09, 0.000000000000e+00
