"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+06, 7.881565777371e+06, 4.231500000017e+02
5.256000000000e+06, 7.881565777371e+06, 4.231499999968e+02
7.884000000000e+06, 7.881565777371e+06, 4.231499999924e+02
1.051200000000e+07, 7.881565777371e+06, 4.231499999887e+02
1.314000000000e+07, 7.881565777371e+06, 4.231499999855e+02
1.576800000000e+07, 7.881565777371e+06, 4.231499999828e+02
1.839600000000e+07, 7.881565777371e+06, 4.231499999805e+02
2.102400000000e+07, 7.881565777371e+06, 4.231499999785e+02
2.365200000000e+07, 7.881565777371e+06, 4.231499999767e+02
2.628000000000e+07, 7.881565777371e+06, 4.231499999752e+02
2.890800000000e+07, 7.881565777371e+06, 4.231499999738e+02
3.153600000000e+07, 7.881565777371e+06, 4.231499999726e+02
