ElementID, VELOCITY1_X
0, 6.525363210123e-04
1, 9.115018607153e-04
2, 1.079567164225e-03
3, 1.206121477269e-03
4, 1.303076710308e-03
5, 1.374513214792e-03
6, 1.429498663012e-03
7, 1.467546257756e-03
8, 1.492403147383e-03
9, 1.504690616735e-03
10, 1.504725458176e-03
11, 1.492835072795e-03
12, 1.467617988724e-03
13, 1.427772345067e-03
14, 1.372545003120e-03
15, 1.300025105580e-03
16, 1.203010522282e-03
17, 1.076097302040e-03
18, 8.985777221397e-04
19, 6.444999979613e-04
20, 1.020089493131e-04
21, 9.928124944944e-05
22, 9.928502901565e-05
23, 1.020151673000e-04
24, 9.926966769584e-05
25, 1.020158951318e-04
26, 9.930464581216e-05
27, 9.928280599822e-05
28, 1.019963308310e-04
29, 1.019996225262e-04
30, 1.020301564799e-04
31, 1.020191777375e-04
32, 9.928252664009e-05
33, 1.020128721891e-04
34, 1.020059659693e-04
35, 1.020055518670e-04
36, 1.019903009657e-04
37, 1.020069352934e-04
38, 9.928539438672e-05
39, 1.020087223805e-04
40, 1.020067920772e-04
41, 1.020005862659e-04
42, 1.020033311443e-04
43, 9.928659296511e-05
44, 9.929035486329e-05
45, 1.020138068725e-04
46, 1.020011301225e-04
47, 9.930872045566e-05
48, 1.020269327081e-04
49, 1.020287049887e-04
50, 1.019899491346e-04
51, 9.928051942126e-05
52, 1.019822357655e-04
53, 9.929387153055e-05
54, 9.931525348760e-05
55, 9.928687335194e-05
56, 1.020035847832e-04
57, 1.020027848710e-04
58, 1.019983443619e-04
59, 9.927599556403e-05
60, 9.927799566996e-05
61, 9.927823260896e-05
62, 9.927973353112e-05
63, 9.928637956592e-05
64, 9.927931380358e-05
65, 1.020251498874e-04
66, 1.020184175309e-04
67, 1.020120616910e-04
68, 1.020253748863e-04
69, 1.020174341411e-04
70, 1.020110058096e-04
71, 1.020084555288e-04
72, 1.020161048459e-04
73, 1.020040115668e-04
74, 1.020003301225e-04
75, 9.928595824626e-05
76, 1.020067676667e-04
77, 1.020050257409e-04
78, 9.928476419878e-05
79, 1.019880430381e-04
80, 1.020187842682e-04
81, 1.020278241831e-04
82, 1.020178568788e-04
83, 9.928558123023e-05
84, 9.928344375690e-05
85, 1.020019043742e-04
86, 1.020042512485e-04
87, 1.020047851832e-04
88, 1.020136998367e-04
89, 1.020120543664e-04
90, 9.931141199062e-05
91, 9.930010693657e-05
92, 9.929530377358e-05
93, 9.930831978365e-05
94, 9.928317467254e-05
95, 9.927871210370e-05
96, 9.928013243109e-05
97, 1.019995000751e-04
98, 1.020005582712e-04
99, 1.025308191400e-04
100, 9.910703258879e-05
101, 1.021042947597e-04
102, 1.019533461414e-04
103, 1.011597482526e-04
104, 9.925964901815e-05
105, 9.917413507576e-05
106, 1.031232157423e-04
107, 1.028033535377e-04
108, 1.025542810951e-04
109, 9.911222323872e-05
110, 9.938027611319e-05
111, 1.030346433589e-04
112, 9.932227207285e-05
113, 9.922306091778e-05
114, 9.946866966370e-05
115, 9.934269694205e-05
116, 1.019822658891e-04
117, 1.019918721692e-04
118, 1.020936431292e-04
119, 9.913667482853e-05
120, 9.914979205040e-05
121, 9.935623041448e-05
122, 9.935964312499e-05
123, 1.019436515100e-04
124, 1.019522071597e-04
125, 1.019588661452e-04
126, 1.020946727548e-04
127, 1.020640811428e-04
128, 1.020943394842e-04
129, 9.922135917498e-05
130, 1.019585830913e-04
131, 9.920390596431e-05
132, 9.921472895993e-05
133, 1.028594232562e-04
134, 1.028634624006e-04
135, 1.019319438443e-04
136, 9.927455239378e-05
137, 9.920657681956e-05
138, 9.930338355445e-05
139, 1.020381377742e-04
140, 9.926997076162e-05
141, 1.019770424213e-04
142, 1.019447798381e-04
143, 9.934108498917e-05
144, 9.941875661661e-05
145, 1.020480186220e-04
146, 9.919295412114e-05
147, 9.918973634645e-05
148, 9.921045224582e-05
149, 9.926120887159e-05
150, 1.020776432354e-04
151, 1.020789933290e-04
152, 9.921359147922e-05
153, 9.917364391669e-05
154, 9.918686755174e-05
155, 1.017515761413e-04
156, 9.922428515910e-05
157, 9.923109562950e-05
158, 9.924399331465e-05
159, 1.020186062678e-04
160, 1.020160188517e-04
161, 9.923835133535e-05
162, 9.925276536185e-05
163, 9.919872386668e-05
164, 9.913631080476e-05
165, 9.926282189535e-05
166, 9.927416941813e-05
167, 9.935687769475e-05
168, 1.030501679849e-04
169, 1.019618945174e-04
170, 1.019600832327e-04
171, 9.923050620151e-05
