"TIME", "PRESSURE1", "VELOCITY_X1", "VELOCITY_Y1", "VELOCITY_Z1"
0.000000000000e+00, 1.235750000000e+06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+06, 1.611414717756e+06, 6.011126171531e-09, 4.425941413583e-08, 6.373577404101e-08
2.000000000000e+06, 1.642466466774e+06, 4.653013931804e-09, 3.381191819190e-08, 4.854392236179e-08
3.000000000000e+06, 1.650050281197e+06, 4.268578988812e-09, 3.118003751693e-08, 4.452487296053e-08
4.000000000000e+06, 1.652199672823e+06, 4.155442319457e-09, 3.043085824156e-08, 4.338164196591e-08
5.000000000000e+06, 1.652829108362e+06, 4.121839241711e-09, 3.021112208729e-08, 4.304699508813e-08
