"TIME", "PRESSURE1", "TEMPERATURE1", "VELOCITY_X1", "VELOCITY_Y1", "VELOCITY_Z1"
0.000000000000e+00, 1.750000000000e+06, 6.000000000000e+01, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+00, 1.750427043634e+06, 6.000084640517e+01, -2.597589249807e-03, -2.634474794463e-03, -7.325013727764e-03
3.710000000000e+00, 1.757923063663e+06, 6.000084638504e+01, -2.232911283815e-03, -2.389581468180e-03, -6.471604944210e-03
1.091860000000e+01, 1.782388628161e+06, 6.000084636870e+01, -1.401168882892e-03, -1.622026885648e-03, -4.232559225736e-03
2.973304600000e+01, 1.817834812301e+06, 6.000084631144e+01, -5.816114906128e-04, -7.359609128863e-04, -1.844638278922e-03
7.789802776000e+01, 1.847224777548e+06, 6.000084603836e+01, -2.093953710924e-04, -2.821801302114e-04, -6.881945487395e-04
