NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, STRESS_XX, STRESS_XY, STRESS_YY, STRAIN_XX, STRAIN_XY, STRAIN_YY
0, 0.000000000000e+00, 0.000000000000e+00, -2.303339100626e-07, 1.005274560862e-09, -1.000000000000e+06, 1.199999999999e-02, 1.206329473034e-16, -4.800000000001e-02, 0.000000000000e+00
1, 8.000000000002e-02, 0.000000000000e+00, 2.077941422910e-07, -5.765959593552e-08, -1.000000000000e+06, 1.200000000001e-02, -6.919151512262e-15, -4.800000000001e-02, 0.000000000000e+00
2, 7.999999999998e-02, -1.600000000000e-01, -6.662131246299e-08, -4.575025190332e-08, -9.999999999999e+05, 1.200000000000e-02, -5.490030228399e-15, -4.800000000000e-02, 0.000000000000e+00
3, -3.971611208898e-15, -1.600000000000e-01, 1.210775306687e-07, 8.723460131957e-08, -1.000000000000e+06, 1.200000000001e-02, 1.046815215835e-14, -4.800000000001e-02, 0.000000000000e+00
4, 8.000000000000e-02, -3.200000000000e-01, 1.133019390018e-08, 4.539269288438e-08, -1.000000000000e+06, 1.200000000000e-02, 5.447123146125e-15, -4.800000000000e-02, 0.000000000000e+00
5, 7.547631011625e-15, -3.200000000000e-01, -2.551662258152e-08, 6.696501083816e-08, -9.999999999997e+05, 1.200000000000e-02, 8.035801300580e-15, -4.799999999999e-02, 0.000000000000e+00
6, 8.000000000001e-02, -4.800000000000e-01, 9.204273313692e-08, -3.026639703467e-08, -1.000000000000e+06, 1.200000000001e-02, -3.631967644161e-15, -4.800000000001e-02, 0.000000000000e+00
7, 8.064426088918e-15, -4.800000000000e-01, -7.750386307116e-08, -5.898684942066e-08, -9.999999999999e+05, 1.199999999999e-02, -7.078421930480e-15, -4.799999999999e-02, 0.000000000000e+00
8, 1.600000000000e-01, 0.000000000000e+00, -2.225636540236e-07, -1.449864066311e-07, -1.000000000000e+06, 1.199999999999e-02, -1.739836879573e-14, -4.800000000001e-02, 0.000000000000e+00
9, 1.600000000000e-01, -1.600000000000e-01, -5.146354612049e-08, -1.415913351828e-07, -1.000000000000e+06, 1.200000000000e-02, -1.699096022194e-14, -4.800000000000e-02, 0.000000000000e+00
10, 1.600000000000e-01, -3.200000000000e-01, -4.731864097041e-08, 1.450768121813e-07, -9.999999999999e+05, 1.200000000000e-02, 1.740921746176e-14, -4.799999999999e-02, 0.000000000000e+00
11, 1.600000000000e-01, -4.800000000000e-01, -4.201894378881e-08, 8.337247049066e-08, -9.999999999999e+05, 1.200000000000e-02, 1.000469645888e-14, -4.800000000000e-02, 0.000000000000e+00
12, 2.400000000000e-01, 0.000000000000e+00, 6.095819503573e-08, -4.133053099684e-08, -9.999999999997e+05, 1.200000000000e-02, -4.959663719621e-15, -4.799999999999e-02, 0.000000000000e+00
13, 2.400000000000e-01, -1.599999999999e-01, 8.683662658124e-08, 2.646849356483e-07, -1.000000000000e+06, 1.200000000000e-02, 3.176219227780e-14, -4.800000000000e-02, 0.000000000000e+00
14, 2.400000000000e-01, -3.200000000000e-01, 3.172514645518e-07, 7.571160426758e-08, -1.000000000000e+06, 1.200000000002e-02, 9.085392512110e-15, -4.800000000001e-02, 0.000000000000e+00
15, 2.400000000000e-01, -4.800000000000e-01, -2.153066944344e-07, -2.998590317739e-08, -1.000000000000e+06, 1.199999999999e-02, -3.598308381287e-15, -4.800000000001e-02, 0.000000000000e+00
