"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+06, 1.236023296444e+07, 3.431499999999e+02
5.256000000000e+06, 1.236023296444e+07, 3.431499999999e+02
7.884000000000e+06, 1.236023296444e+07, 3.431499999999e+02
1.051200000000e+07, 1.236023296444e+07, 3.431499999999e+02
1.314000000000e+07, 1.236023296444e+07, 3.431499999999e+02
1.576800000000e+07, 1.236023296444e+07, 3.431499999999e+02
1.839600000000e+07, 1.236023296444e+07, 3.431499999999e+02
2.102400000000e+07, 1.236023296444e+07, 3.431499999999e+02
2.365200000000e+07, 1.236023296444e+07, 3.431499999999e+02
2.628000000000e+07, 1.236023296444e+07, 3.431499999999e+02
2.890800000000e+07, 1.236023296444e+07, 3.431499999999e+02
3.153600000000e+07, 1.236023296444e+07, 3.431499999999e+02
