"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+06, 7.881565777371e+06, 4.231500000017e+02
5.256000000000e+06, 7.881565777371e+06, 4.231499999968e+02
7.884000000000e+06, 7.881565777371e+06, 4.231499999924e+02
1.051200000000e+07, 7.881565777371e+06, 4.231499999887e+02
1.314000000000e+07, 7.881565777371e+06, 4.231499999855e+02
1.576800000000e+07, 7.881565777371e+06, 4.231499999828e+02
1.839600000000e+07, 7.881565777371e+06, 4.231499999805e+02
2.102400000000e+07, 7.881565777371e+06, 4.231499999785e+02
2.365200000000e+07, 7.881565777371e+06, 4.231499999767e+02
2.628000000000e+07, 7.881565777371e+06, 4.231499999752e+02
2.890800000000e+07, 7.881565777371e+06, 4.231499999738e+02
3.153600000000e+07, 7.881565777371e+06, 4.231499999726e+02
3.416400000000e+07, 7.881565777371e+06, 4.231499999715e+02
3.679200000000e+07, 7.881565777371e+06, 4.231499999705e+02
3.942000000000e+07, 7.881565777371e+06, 4.231499999696e+02
4.204800000000e+07, 7.881565777371e+06, 4.231499999689e+02
4.467600000000e+07, 7.881565777371e+06, 4.231499999681e+02
4.730400000000e+07, 7.881565777371e+06, 4.231499999675e+02
4.993200000000e+07, 7.881565777371e+06, 4.231499999669e+02
5.256000000000e+07, 7.881565777371e+06, 4.231499999664e+02
5.518800000000e+07, 7.881565777371e+06, 4.231499999659e+02
5.781600000000e+07, 7.881565777371e+06, 4.231499999654e+02
6.044400000000e+07, 7.881565777371e+06, 4.231499999650e+02
6.307200000000e+07, 7.881565777371e+06, 4.231499999646e+02
6.570000000000e+07, 7.881565777371e+06, 4.231499999643e+02
6.832800000000e+07, 7.881565777371e+06, 4.231499999639e+02
7.095600000000e+07, 7.881565777371e+06, 4.231499999636e+02
7.358400000000e+07, 7.881565777371e+06, 4.231499999633e+02
7.621200000000e+07, 7.881565777371e+06, 4.231499999631e+02
7.884000000000e+07, 7.881565777371e+06, 4.231499999628e+02
8.146800000000e+07, 7.881565777371e+06, 4.231499999626e+02
