"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.731500000000e+02
2.628000000000e+06, 1.040045830036e+07, 3.431500000000e+02
5.256000000000e+06, 1.041424212651e+07, 3.431500000000e+02
7.884000000000e+06, 1.042214977617e+07, 3.431500000000e+02
1.051200000000e+07, 1.042862574815e+07, 3.431500000000e+02
1.314000000000e+07, 1.043425113311e+07, 3.431500000000e+02
1.576800000000e+07, 1.043923266019e+07, 3.431500000000e+02
1.839600000000e+07, 1.044369387386e+07, 3.431500000000e+02
2.102400000000e+07, 1.044772667749e+07, 3.431500000000e+02
2.365200000000e+07, 1.045140424429e+07, 3.431500000000e+02
2.628000000000e+07, 1.045478575586e+07, 3.431500000000e+02
2.890800000000e+07, 1.045791914609e+07, 3.431500000000e+02
3.153600000000e+07, 1.046084320550e+07, 3.431500000000e+02
3.416400000000e+07, 1.046358925107e+07, 3.431500000000e+02
3.679200000000e+07, 1.046618291800e+07, 3.431500000000e+02
3.942000000000e+07, 1.046864481347e+07, 3.431500000000e+02
4.204800000000e+07, 1.047099186369e+07, 3.431500000000e+02
4.467600000000e+07, 1.047323797595e+07, 3.431500000000e+02
4.730400000000e+07, 1.047539464670e+07, 3.431500000000e+02
4.993200000000e+07, 1.047747144247e+07, 3.431500000000e+02
5.256000000000e+07, 1.047947637965e+07, 3.431500000000e+02
5.518800000000e+07, 1.048141622441e+07, 3.431500000000e+02
5.781600000000e+07, 1.048329672993e+07, 3.431500000000e+02
6.044400000000e+07, 1.048512282445e+07, 3.431500000000e+02
6.307200000000e+07, 1.048689876080e+07, 3.431500000000e+02
6.570000000000e+07, 1.048862823559e+07, 3.431500000000e+02
6.832800000000e+07, 1.049031448457e+07, 3.431500000000e+02
7.095600000000e+07, 1.049196035934e+07, 3.431500000000e+02
7.358400000000e+07, 1.049356838914e+07, 3.431500000000e+02
7.621200000000e+07, 1.049514083100e+07, 3.431500000000e+02
7.884000000000e+07, 1.049667971056e+07, 3.431500000000e+02
8.146800000000e+07, 1.049818685546e+07, 3.431500000000e+02
8.409600000000e+07, 1.049966392285e+07, 3.431500000000e+02
8.672400000000e+07, 1.050111242212e+07, 3.431500000000e+02
8.935200000000e+07, 1.050253373383e+07, 3.431500000000e+02
9.198000000000e+07, 1.050392912558e+07, 3.431500000000e+02
9.460800000000e+07, 1.050529976529e+07, 3.431500000000e+02
9.723600000000e+07, 1.050664673252e+07, 3.431500000000e+02
9.986400000000e+07, 1.050797102809e+07, 3.431500000000e+02
1.024920000000e+08, 1.050927358229e+07, 3.431500000000e+02
1.051200000000e+08, 1.051055526201e+07, 3.431500000000e+02
1.077480000000e+08, 1.051181687687e+07, 3.431500000000e+02
1.103760000000e+08, 1.051305918461e+07, 3.431500000000e+02
1.130040000000e+08, 1.051428289573e+07, 3.431500000000e+02
1.156320000000e+08, 1.051548867767e+07, 3.431500000000e+02
1.182600000000e+08, 1.051667715842e+07, 3.431500000000e+02
1.208880000000e+08, 1.051784892981e+07, 3.431500000000e+02
1.235160000000e+08, 1.051900455037e+07, 3.431500000000e+02
1.261440000000e+08, 1.052014454791e+07, 3.431500000000e+02
1.287720000000e+08, 1.052126942190e+07, 3.431500000000e+02
1.314000000000e+08, 1.052237964549e+07, 3.431500000000e+02
1.340280000000e+08, 1.052347566749e+07, 3.431500000000e+02
1.366560000000e+08, 1.052455791403e+07, 3.431500000000e+02
1.392840000000e+08, 1.052562679015e+07, 3.431500000000e+02
1.419120000000e+08, 1.052668268122e+07, 3.431500000000e+02
1.445400000000e+08, 1.052772595425e+07, 3.431500000000e+02
1.471680000000e+08, 1.052875695910e+07, 3.431500000000e+02
1.497960000000e+08, 1.052977602952e+07, 3.431500000000e+02
1.524240000000e+08, 1.053078348425e+07, 3.431500000000e+02
1.550520000000e+08, 1.053177962784e+07, 3.431500000000e+02
1.576800000000e+08, 1.053276475159e+07, 3.431500000000e+02
1.603080000000e+08, 1.053373913432e+07, 3.431500000000e+02
1.629360000000e+08, 1.053470304309e+07, 3.431500000000e+02
1.655640000000e+08, 1.053565673387e+07, 3.431500000000e+02
1.681920000000e+08, 1.053660045221e+07, 3.431500000000e+02
1.708200000000e+08, 1.053753443378e+07, 3.431500000000e+02
1.734480000000e+08, 1.053845890496e+07, 3.431500000000e+02
1.760760000000e+08, 1.053937408328e+07, 3.431500000000e+02
1.787040000000e+08, 1.054028017799e+07, 3.431500000000e+02
1.813320000000e+08, 1.054117739040e+07, 3.431500000000e+02
1.839600000000e+08, 1.054206591436e+07, 3.431500000000e+02
1.865880000000e+08, 1.054294593663e+07, 3.431500000000e+02
1.892160000000e+08, 1.054381763721e+07, 3.431500000000e+02
