"TIME", "TEMPERATURE1"
0.000000000000e+00, 3.000000000000e+02
1.000000000000e+05, 3.000107439903e+02
2.000000000000e+05, 3.001037051808e+02
3.000000000000e+05, 3.005242281427e+02
4.000000000000e+05, 3.018593820024e+02
5.000000000000e+05, 3.051963397361e+02
6.000000000000e+05, 3.120568696410e+02
7.000000000000e+05, 3.236078068545e+02
8.000000000000e+05, 3.391731126357e+02
9.000000000000e+05, 3.559634919375e+02
1.000000000000e+06, 3.709025331295e+02
1.100000000000e+06, 3.822933784422e+02
1.200000000000e+06, 3.899802581553e+02
1.300000000000e+06, 3.946813741685e+02
1.400000000000e+06, 3.973318506280e+02
1.500000000000e+06, 3.987269335536e+02
1.600000000000e+06, 3.994191275127e+02
1.700000000000e+06, 3.997453615836e+02
1.800000000000e+06, 3.998923215605e+02
1.900000000000e+06, 3.999559228638e+02
2.000000000000e+06, 3.999824812521e+02
2.100000000000e+06, 3.999932210758e+02
2.200000000000e+06, 3.999974401651e+02
2.300000000000e+06, 3.999990547104e+02
2.400000000000e+06, 3.999996579988e+02
2.500000000000e+06, 3.999998785713e+02
2.600000000000e+06, 3.999999576267e+02
2.700000000000e+06, 3.999999854480e+02
2.800000000000e+06, 3.999999950758e+02
2.900000000000e+06, 3.999999983564e+02
3.000000000000e+06, 3.999999994583e+02
3.100000000000e+06, 3.999999998236e+02
3.200000000000e+06, 3.999999999432e+02
3.300000000000e+06, 3.999999999819e+02
3.400000000000e+06, 3.999999999943e+02
3.500000000000e+06, 3.999999999982e+02
3.600000000000e+06, 3.999999999994e+02
3.700000000000e+06, 3.999999999998e+02
3.800000000000e+06, 3.999999999999e+02
3.900000000000e+06, 4.000000000000e+02
4.000000000000e+06, 4.000000000000e+02
4.100000000000e+06, 4.000000000000e+02
4.200000000000e+06, 4.000000000000e+02
4.300000000000e+06, 4.000000000000e+02
4.400000000000e+06, 4.000000000000e+02
4.500000000000e+06, 4.000000000000e+02
4.600000000000e+06, 4.000000000000e+02
4.700000000000e+06, 4.000000000000e+02
4.800000000000e+06, 4.000000000000e+02
4.900000000000e+06, 4.000000000000e+02
5.000000000000e+06, 4.000000000000e+02
