"TIME", "TEMPERATURE1"
0.000000000000e+00, 0.000000000000e+00
3.906250000000e+05, 2.352711256610e-07
7.812500000000e+05, 2.427952153214e-06
1.171875000000e+06, 1.275755221918e-05
1.562500000000e+06, 4.582776843256e-05
1.953125000000e+06, 1.274198358048e-04
2.343750000000e+06, 2.940880555848e-04
2.734375000000e+06, 5.894720440340e-04
3.125000000000e+06, 1.058845817538e-03
3.515625000000e+06, 1.743810870810e-03
3.906250000000e+06, 2.678417039214e-03
4.296875000000e+06, 3.887121588835e-03
4.687500000000e+06, 5.384373175200e-03
5.078125000000e+06, 7.175338026021e-03
5.468750000000e+06, 9.257269770839e-03
5.859375000000e+06, 1.162112861801e-02
6.250000000000e+06, 1.425318751321e-02
6.640625000000e+06, 1.713647707350e-02
7.031250000000e+06, 2.025200351396e-02
7.421875000000e+06, 2.357972609702e-02
7.812500000000e+06, 2.709930989963e-02
8.203125000000e+06, 3.079068339863e-02
8.593750000000e+06, 3.463443455167e-02
8.984375000000e+06, 3.861207795291e-02
9.375000000000e+06, 4.270622200461e-02
9.765625000000e+06, 4.690066050031e-02
1.015625000000e+07, 5.118040845932e-02
1.054687500000e+07, 5.553169792418e-02
1.093750000000e+07, 5.994194590413e-02
1.132812500000e+07, 6.439970374349e-02
1.171875000000e+07, 6.889459486515e-02
1.210937500000e+07, 7.341724601006e-02
1.250000000000e+07, 7.795921567795e-02
1.289062500000e+07, 8.251292239351e-02
1.328125000000e+07, 8.707157460693e-02
1.367187500000e+07, 9.162910342883e-02
1.406250000000e+07, 9.618009895101e-02
1.445312500000e+07, 1.007197505774e-01
1.484375000000e+07, 1.052437915554e-01
1.523437500000e+07, 1.097484477323e-01
1.562500000000e+07, 1.142303904501e-01
1.601562500000e+07, 1.186866934132e-01
1.640625000000e+07, 1.231147933222e-01
1.679687500000e+07, 1.275124540346e-01
1.718750000000e+07, 1.318777340053e-01
1.757812500000e+07, 1.362089567560e-01
1.796875000000e+07, 1.405046841278e-01
1.835937500000e+07, 1.447636920802e-01
1.875000000000e+07, 1.489849488151e-01
1.914062500000e+07, 1.531675950138e-01
1.953125000000e+07, 1.573109259949e-01
1.992187500000e+07, 1.614143756107e-01
2.031250000000e+07, 1.654775017209e-01
2.070312500000e+07, 1.694999730892e-01
2.109375000000e+07, 1.734815575675e-01
2.148437500000e+07, 1.774221114433e-01
2.187500000000e+07, 1.813215698346e-01
2.226562500000e+07, 1.851799380325e-01
2.265625000000e+07, 1.889972836970e-01
2.304687500000e+07, 1.927737298230e-01
2.343750000000e+07, 1.965094484012e-01
2.382812500000e+07, 2.002046547042e-01
2.421875000000e+07, 2.038596021392e-01
2.460937500000e+07, 2.074745776084e-01
2.500000000000e+07, 2.110498973306e-01
2.539062500000e+07, 2.145859030770e-01
2.578125000000e+07, 2.180829587808e-01
2.617187500000e+07, 2.215414474855e-01
2.656250000000e+07, 2.249617685976e-01
2.695312500000e+07, 2.283443354150e-01
2.734375000000e+07, 2.316895729041e-01
