"TIME", "TEMPERATURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_XY", "STRESS_YY", "STRESS_ZZ", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY", "STRAIN_ZZ", "STRAIN_PLS"
0.000000000000e+00, 2.981500000000e+02, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e-01, 2.981481874324e+02, 1.118119736538e-16, 0.000000000000e+00, -2.345862765917e+05, -3.468538134524e-06, -8.643468183937e+04, -8.640377364340e+04, -7.527671149775e-06, -3.524034744677e-16, -1.570136355354e-09, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e-01, 2.981588244057e+02, 1.392659976700e-16, 0.000000000000e+00, -3.225493737590e+05, -3.227601433265e-06, -1.211546574854e+05, -1.211237492985e+05, -1.023242172259e-05, -3.279243056197e-16, -1.570135896489e-09, 0.000000000000e+00, 0.000000000000e+00
3.000000000000e-01, 2.981408143463e+02, 1.373200639384e-16, 0.000000000000e+00, -3.940191541124e+05, -3.172389174784e-06, -1.438879886921e+05, -1.438570805079e+05, -1.270823333911e-05, -3.223147401580e-16, -1.570135756866e-09, 0.000000000000e+00, 0.000000000000e+00
4.000000000000e-01, 2.981423762002e+02, 1.288754211833e-16, 0.000000000000e+00, -4.551813660150e+05, -3.146721116666e-06, -1.668305575790e+05, -1.667996493963e+05, -1.464979120423e-05, -3.197068654533e-16, -1.570135677986e-09, 0.000000000000e+00, 0.000000000000e+00
5.000000000000e-01, 2.981525810826e+02, 1.194458065305e-16, 0.000000000000e+00, -5.093204689340e+05, -3.154453993436e-06, -1.889515029901e+05, -1.889205948086e+05, -1.627631360557e-05, -3.204925257331e-16, -1.570135619893e-09, 0.000000000000e+00, 0.000000000000e+00
6.000000000000e-01, 2.981603599936e+02, 1.090286093027e-16, 0.000000000000e+00, -5.583458100620e+05, -3.172702707350e-06, -2.086825697679e+05, -2.086516615872e+05, -1.776446274252e-05, -3.223465950667e-16, -1.570135577711e-09, 0.000000000000e+00, 0.000000000000e+00
7.000000000000e-01, 2.981616063539e+02, 9.756272325097e-17, 0.000000000000e+00, -6.034551103126e+05, -3.176209662494e-06, -2.256229329380e+05, -2.255920247579e+05, -1.919544474618e-05, -3.227029017094e-16, -1.570135545833e-09, 0.000000000000e+00, 0.000000000000e+00
8.000000000000e-01, 2.981567524497e+02, 8.801700345293e-17, 0.000000000000e+00, -6.454486026287e+05, -3.175935342097e-06, -2.401573949877e+05, -2.401264868081e+05, -2.059036348369e-05, -3.226750307570e-16, -1.570135521617e-09, 0.000000000000e+00, 0.000000000000e+00
9.000000000000e-01, 2.981481305804e+02, 7.802898947071e-17, 0.000000000000e+00, -6.848892533104e+05, -3.173668792588e-06, -2.529734159345e+05, -2.529425077553e+05, -2.194289467420e-05, -3.224447493270e-16, -1.570135505465e-09, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+00, 2.981384398367e+02, 7.034726173612e-17, 0.000000000000e+00, -7.221899547535e+05, -3.173721266152e-06, -2.647783170723e+05, -2.647474088933e+05, -2.323808132970e-05, -3.224500806411e-16, -1.570135495505e-09, 0.000000000000e+00, 0.000000000000e+00
