NodeID, PRESSURE1
0, 2.129367185741e+06
1, 2.107805988118e+06
2, 2.086244790494e+06
3, 2.064683592871e+06
4, 2.043122395247e+06
5, 2.021561197624e+06
6, 2.000000000000e+06
