NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, STRESS_XX, STRESS_XY, STRESS_YY, STRAIN_XX, STRAIN_XY, STRAIN_YY
0, 0.000000000000e+00, 0.000000000000e+00, -1.196021912620e-07, -7.233555961008e-08, -1.000000000000e+06, 1.199999999999e-02, -8.680267153209e-15, -4.800000000000e-02, 0.000000000000e+00
1, 2.999999999999e-02, 0.000000000000e+00, -1.479444714884e-07, 2.484027644072e-08, -1.000000000000e+06, 1.199999999999e-02, 2.980833172887e-15, -4.800000000000e-02, 0.000000000000e+00
2, 5.999999999999e-02, 0.000000000000e+00, -1.963215052254e-08, -9.053971564246e-08, -9.999999999998e+05, 1.200000000000e-02, -1.086476587710e-14, -4.799999999999e-02, 0.000000000000e+00
3, 8.999999999997e-02, 0.000000000000e+00, -4.785963230698e-10, 3.726443022480e-10, -9.999999999999e+05, 1.200000000000e-02, 4.471731626976e-17, -4.799999999999e-02, 0.000000000000e+00
4, 1.200000000000e-01, 0.000000000000e+00, 1.651707053598e-07, 5.971946188594e-08, -9.999999999998e+05, 1.200000000001e-02, 7.166335426313e-15, -4.799999999999e-02, 0.000000000000e+00
5, 1.500000000000e-01, 0.000000000000e+00, -2.449216683292e-07, -3.848676778508e-08, -9.999999999996e+05, 1.199999999998e-02, -4.618412134210e-15, -4.799999999998e-02, 0.000000000000e+00
6, 1.799999999999e-01, 0.000000000000e+00, -1.584218504529e-08, 2.890081435486e-08, -9.999999999998e+05, 1.200000000000e-02, 3.468097722583e-15, -4.799999999999e-02, 0.000000000000e+00
7, 2.099999999999e-01, 0.000000000000e+00, 9.666998974151e-08, 3.277021144155e-08, -9.999999999997e+05, 1.200000000000e-02, 3.932425372986e-15, -4.799999999999e-02, 0.000000000000e+00
8, 2.399999999999e-01, 0.000000000000e+00, 2.223338621358e-07, 3.353798720222e-08, -9.999999999996e+05, 1.200000000001e-02, 4.024558464266e-15, -4.799999999998e-02, 0.000000000000e+00
9, 8.954051681810e-15, -1.200000000000e-01, -7.485828569366e-08, 1.948255086066e-07, -1.000000000000e+06, 1.200000000000e-02, 2.337906103279e-14, -4.800000000000e-02, 0.000000000000e+00
10, 3.000000000000e-02, -1.200000000000e-01, -2.650776877999e-07, 5.337969007142e-08, -9.999999999997e+05, 1.199999999998e-02, 6.405562808571e-15, -4.799999999998e-02, 0.000000000000e+00
11, 5.999999999995e-02, -1.200000000000e-01, -8.047209121287e-08, -3.487597299434e-08, -9.999999999999e+05, 1.200000000000e-02, -4.185116759321e-15, -4.800000000000e-02, 0.000000000000e+00
12, 8.999999999995e-02, -1.200000000000e-01, 1.833331124443e-07, -2.467644144577e-08, -1.000000000000e+06, 1.200000000001e-02, -2.961172973493e-15, -4.800000000000e-02, 0.000000000000e+00
13, 1.200000000000e-01, -1.200000000000e-01, 8.197740599927e-08, 5.050775898342e-08, -9.999999999998e+05, 1.200000000000e-02, 6.060931078010e-15, -4.799999999999e-02, 0.000000000000e+00
14, 1.500000000000e-01, -1.199999999999e-01, -3.553092634926e-08, 4.844134995393e-08, -9.999999999997e+05, 1.199999999999e-02, 5.812961994472e-15, -4.799999999998e-02, 0.000000000000e+00
15, 1.800000000000e-01, -1.200000000000e-01, 7.364077545289e-08, 9.512950483932e-08, -9.999999999998e+05, 1.200000000000e-02, 1.141554058072e-14, -4.799999999999e-02, 0.000000000000e+00
16, 2.100000000000e-01, -1.200000000000e-01, 2.156270460950e-08, 1.734996534302e-07, -9.999999999997e+05, 1.200000000000e-02, 2.081995841162e-14, -4.799999999999e-02, 0.000000000000e+00
17, 2.399999999999e-01, -1.200000000000e-01, 1.530990832382e-07, 7.519062533095e-08, -9.999999999997e+05, 1.200000000000e-02, 9.022875039714e-15, -4.799999999999e-02, 0.000000000000e+00
18, -2.835883621061e-16, -2.400000000000e-01, 1.898216497566e-08, -7.124252319766e-08, -9.999999999997e+05, 1.200000000000e-02, -8.549102783720e-15, -4.799999999999e-02, 0.000000000000e+00
19, 2.999999999999e-02, -2.399999999999e-01, 9.665705470575e-09, -4.042387566658e-08, -9.999999999997e+05, 1.200000000000e-02, -4.850865079990e-15, -4.799999999999e-02, 0.000000000000e+00
20, 5.999999999999e-02, -2.400000000000e-01, 3.697156595687e-08, 2.446602591304e-08, -9.999999999997e+05, 1.200000000000e-02, 2.935923109564e-15, -4.799999999999e-02, 0.000000000000e+00
21, 8.999999999997e-02, -2.400000000000e-01, -1.135776983574e-07, 9.979157418101e-08, -9.999999999997e+05, 1.199999999999e-02, 1.197498890172e-14, -4.799999999998e-02, 0.000000000000e+00
22, 1.200000000000e-01, -2.399999999999e-01, 9.421233294739e-08, 6.689928960596e-08, -9.999999999997e+05, 1.200000000000e-02, 8.027914752715e-15, -4.799999999998e-02, 0.000000000000e+00
23, 1.500000000000e-01, -2.399999999999e-01, -4.478756131397e-08, -3.600836193004e-08, -1.000000000000e+06, 1.200000000000e-02, -4.321003431605e-15, -4.800000000000e-02, 0.000000000000e+00
24, 1.800000000000e-01, -2.400000000000e-01, -1.998463024692e-09, -6.122610134934e-08, -9.999999999999e+05, 1.200000000000e-02, -7.347132161921e-15, -4.799999999999e-02, 0.000000000000e+00
25, 2.100000000000e-01, -2.399999999999e-01, 3.442498079191e-08, -8.713291148270e-08, -9.999999999998e+05, 1.200000000000e-02, -1.045594937792e-14, -4.799999999999e-02, 0.000000000000e+00
26, 2.400000000000e-01, -2.399999999999e-01, 1.285483853685e-07, -1.417654573979e-07, -9.999999999998e+05, 1.200000000000e-02, -1.701185488775e-14, -4.799999999999e-02, 0.000000000000e+00
27, -3.451748215750e-14, -3.599999999999e-01, 2.048068886830e-07, -6.703100009210e-08, -9.999999999994e+05, 1.200000000000e-02, -8.043720011052e-15, -4.799999999997e-02, 0.000000000000e+00
28, 2.999999999998e-02, -3.599999999999e-01, 1.839879486296e-07, -3.918868830267e-08, -9.999999999998e+05, 1.200000000001e-02, -4.702642596320e-15, -4.799999999999e-02, 0.000000000000e+00
29, 5.999999999998e-02, -3.599999999999e-01, 3.960061197479e-08, -9.418424116746e-08, -9.999999999997e+05, 1.200000000000e-02, -1.130210894009e-14, -4.799999999999e-02, 0.000000000000e+00
30, 8.999999999996e-02, -3.599999999999e-01, -7.168596817388e-08, 3.541727096786e-08, -9.999999999996e+05, 1.199999999999e-02, 4.250072516143e-15, -4.799999999998e-02, 0.000000000000e+00
31, 1.200000000000e-01, -3.599999999999e-01, 8.688463519017e-08, 3.901842840595e-08, -9.999999999997e+05, 1.200000000000e-02, 4.682211408715e-15, -4.799999999999e-02, 0.000000000000e+00
32, 1.500000000000e-01, -3.599999999999e-01, 6.094827161482e-08, -1.354144420053e-07, -1.000000000000e+06, 1.200000000000e-02, -1.624973304063e-14, -4.800000000001e-02, 0.000000000000e+00
33, 1.800000000000e-01, -3.599999999999e-01, -2.746011078772e-07, 7.636959480444e-08, -9.999999999999e+05, 1.199999999999e-02, 9.164351376533e-15, -4.799999999999e-02, 0.000000000000e+00
34, 2.099999999999e-01, -3.599999999999e-01, -2.776262893652e-07, -3.027092465580e-08, -9.999999999999e+05, 1.199999999999e-02, -3.632510958696e-15, -4.799999999999e-02, 0.000000000000e+00
35, 2.399999999999e-01, -3.599999999999e-01, -1.753764485733e-07, -1.743268595321e-07, -1.000000000000e+06, 1.200000000000e-02, -2.091922314386e-14, -4.800000000002e-02, 0.000000000000e+00
36, 2.547699031609e-14, -4.799999999999e-01, -4.821146527926e-07, 1.291405254338e-08, -9.999999999996e+05, 1.199999999997e-02, 1.549686305206e-15, -4.799999999998e-02, 0.000000000000e+00
37, 2.999999999996e-02, -4.799999999999e-01, -4.724942199472e-07, 2.711308543935e-09, -9.999999999999e+05, 1.199999999998e-02, 3.253570252722e-16, -4.799999999999e-02, 0.000000000000e+00
38, 5.999999999995e-02, -4.799999999999e-01, 2.810233531313e-07, -5.729084901958e-08, -9.999999999998e+05, 1.200000000001e-02, -6.874901882349e-15, -4.799999999999e-02, 0.000000000000e+00
39, 8.999999999998e-02, -4.799999999999e-01, 1.086640016486e-07, 3.331311564052e-08, -9.999999999997e+05, 1.200000000000e-02, 3.997573876862e-15, -4.799999999999e-02, 0.000000000000e+00
40, 1.200000000000e-01, -4.799999999999e-01, 1.782965328958e-07, 1.037878630775e-07, -9.999999999998e+05, 1.200000000001e-02, 1.245454356930e-14, -4.799999999999e-02, 0.000000000000e+00
41, 1.500000000000e-01, -4.799999999999e-01, -2.664649703850e-07, 5.831883330164e-08, -1.000000000000e+06, 1.199999999999e-02, 6.998259996196e-15, -4.800000000000e-02, 0.000000000000e+00
42, 1.799999999999e-01, -4.799999999999e-01, -1.642652528567e-07, 1.208074278474e-07, -9.999999999999e+05, 1.199999999999e-02, 1.449689134169e-14, -4.799999999999e-02, 0.000000000000e+00
43, 2.100000000000e-01, -4.799999999999e-01, 3.201421350241e-07, -1.484152307225e-08, -9.999999999995e+05, 1.200000000001e-02, -1.780982768670e-15, -4.799999999998e-02, 0.000000000000e+00
44, 2.400000000000e-01, -4.800000000000e-01, 2.007388199369e-07, 1.488199995335e-07, -9.999999999998e+05, 1.200000000001e-02, 1.785839994402e-14, -4.799999999999e-02, 0.000000000000e+00
