NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
0, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 5.746778198624e-08, -4.257459688681e-08, 2.339360849090e-08, 5.601637822335e-08, 2.352298403193e-08, -1.000000000000e+06, 1.000000000000e-02, -5.108951626417e-15, 2.807233018908e-15, 1.000000000000e-02, 2.822758083832e-15, -5.000000000000e-02, 0.000000000000e+00
1, 2.499999999998e-02, 0.000000000000e+00, 0.000000000000e+00, -2.371205415103e-07, 4.123543222290e-08, -1.188155266184e-08, -3.576365132263e-07, -1.819735247984e-09, -9.999999999996e+05, 9.999999999987e-03, 4.948251866747e-15, -1.425786319421e-15, 9.999999999980e-03, -2.183682297581e-16, -4.999999999997e-02, 0.000000000000e+00
2, 5.000000000001e-02, 0.000000000000e+00, 0.000000000000e+00, 3.285941163237e-07, -1.523594716745e-07, -3.737551327163e-08, -3.294822553768e-08, 2.936659780868e-08, -1.000000000000e+06, 1.000000000002e-02, -1.828313660094e-14, -4.485061592595e-15, 9.999999999998e-03, 3.523991737041e-15, -5.000000000002e-02, 0.000000000000e+00
3, 7.499999999996e-02, 0.000000000000e+00, 0.000000000000e+00, -4.808633414527e-07, 2.791482190615e-07, 3.307772216515e-07, 2.689767872314e-09, -3.962819157060e-08, -9.999999999992e+05, 9.999999999968e-03, 3.349778628738e-14, 3.969326659818e-14, 9.999999999997e-03, -4.755382988472e-15, -4.999999999996e-02, 0.000000000000e+00
4, 1.000000000000e-01, 0.000000000000e+00, 0.000000000000e+00, 9.194680370076e-07, -5.154843650250e-08, -2.223041160630e-07, -4.195895706353e-07, 1.649290333672e-08, -1.000000000000e+06, 1.000000000005e-02, -6.185812380300e-15, -2.667649392757e-14, 9.999999999970e-03, 1.979148400407e-15, -5.000000000001e-02, 0.000000000000e+00
5, 0.000000000000e+00, 2.499999999998e-02, 0.000000000000e+00, -3.513993292520e-07, 4.086867589463e-08, -1.818126335998e-09, -2.383427999146e-07, -9.798879756478e-09, -9.999999999996e+05, 9.999999999981e-03, 4.904241107356e-15, -2.181751603197e-16, 9.999999999987e-03, -1.175865570777e-15, -4.999999999997e-02, 0.000000000000e+00
6, 2.499999999998e-02, 2.499999999998e-02, 0.000000000000e+00, -2.134067513008e-08, 2.496837239930e-07, 1.637881386969e-07, -2.618364205277e-08, 1.627946929899e-07, -1.000000000000e+06, 1.000000000000e-02, 2.996204687916e-14, 1.965457664363e-14, 1.000000000000e-02, 1.953536315879e-14, -5.000000000001e-02, 0.000000000000e+00
7, 5.000000000002e-02, 2.499999999998e-02, 0.000000000000e+00, 3.033351653498e-07, -3.138120839444e-09, -1.431429659217e-07, 1.571378900727e-07, 4.958140928756e-08, -9.999999999998e+05, 1.000000000001e-02, -3.765745007332e-16, -1.717715591060e-14, 1.000000000000e-02, 5.949769114507e-15, -4.999999999999e-02, 0.000000000000e+00
8, 7.500000000001e-02, 2.499999999998e-02, 0.000000000000e+00, -2.437446990970e-08, -8.194925330537e-08, -1.858751939777e-07, -1.241943994186e-07, -1.892581739459e-09, -1.000000000000e+06, 1.000000000000e-02, -9.833910396644e-15, -2.230502327733e-14, 9.999999999994e-03, -2.271098087350e-16, -5.000000000000e-02, 0.000000000000e+00
9, 9.999999999998e-02, 2.499999999994e-02, 0.000000000000e+00, -5.304665434481e-07, -2.007782064428e-07, 8.026293424862e-08, 1.317419069637e-07, 3.418335580205e-07, -1.000000000000e+06, 9.999999999977e-03, -2.409338477313e-14, 9.631552109835e-15, 1.000000000002e-02, 4.102002696245e-14, -5.000000000002e-02, 0.000000000000e+00
10, 0.000000000000e+00, 5.000000000001e-02, 0.000000000000e+00, -1.813014257118e-08, -1.507732833219e-07, 2.950040058683e-08, 3.279256488672e-07, -3.068107007597e-08, -1.000000000000e+06, 9.999999999999e-03, -1.809279399863e-14, 3.540048070420e-15, 1.000000000002e-02, -3.681728409116e-15, -5.000000000002e-02, 0.000000000000e+00
11, 2.499999999998e-02, 5.000000000002e-02, 0.000000000000e+00, 1.726447693863e-07, -5.924438259976e-09, 5.808626363773e-08, 3.025354823315e-07, -1.444961598859e-07, -9.999999999998e+05, 1.000000000000e-02, -7.109325911971e-16, 6.970351636528e-15, 1.000000000001e-02, -1.733953918631e-14, -4.999999999999e-02, 0.000000000000e+00
12, 5.000000000003e-02, 5.000000000003e-02, 0.000000000000e+00, 2.492776277480e-07, -6.041719566376e-08, -8.249935190313e-08, 2.391488429408e-07, -9.735394809811e-08, -9.999999999997e+05, 1.000000000001e-02, -7.250063479651e-15, -9.899922228375e-15, 1.000000000001e-02, -1.168247377177e-14, -4.999999999999e-02, 0.000000000000e+00
13, 7.500000000001e-02, 5.000000000002e-02, 0.000000000000e+00, -1.341224382757e-07, -8.263397569537e-08, -1.064583344153e-07, 9.750821600190e-08, -7.727849251722e-08, -9.999999999996e+05, 9.999999999988e-03, -9.916077083445e-15, -1.277500012984e-14, 1.000000000000e-02, -9.273419102067e-15, -4.999999999998e-02, 0.000000000000e+00
14, 1.000000000000e-01, 5.000000000000e-02, 0.000000000000e+00, 6.864703803932e-07, 3.033432717727e-07, -1.973823568746e-07, -9.256011384582e-09, -1.647687065415e-07, -1.000000000000e+06, 1.000000000004e-02, 3.640119261273e-14, -2.368588282496e-14, 9.999999999996e-03, -1.977224478498e-14, -5.000000000002e-02, 0.000000000000e+00
15, 0.000000000000e+00, 7.499999999996e-02, 0.000000000000e+00, 2.269363585002e-08, 2.808859427267e-07, -3.924920285844e-08, -4.785193148552e-07, 3.380150238308e-07, -9.999999999993e+05, 9.999999999999e-03, 3.370631312720e-14, -4.709904343013e-15, 9.999999999968e-03, 4.056180285970e-14, -4.999999999996e-02, 0.000000000000e+00
16, 2.499999999998e-02, 7.500000000001e-02, 0.000000000000e+00, -1.017309411259e-07, -8.670021061835e-08, 1.113228263186e-08, -2.323954070719e-08, -1.846859734720e-07, -1.000000000000e+06, 9.999999999995e-03, -1.040402527420e-14, 1.335873915823e-15, 1.000000000000e-02, -2.216231681664e-14, -5.000000000000e-02, 0.000000000000e+00
17, 5.000000000002e-02, 7.500000000001e-02, 0.000000000000e+00, 1.194524026900e-07, -8.927482432936e-08, -4.999844245741e-08, -1.346742137121e-07, -1.263485782387e-07, -9.999999999996e+05, 1.000000000000e-02, -1.071297891952e-14, -5.999813094889e-15, 9.999999999988e-03, -1.516182938865e-14, -4.999999999998e-02, 0.000000000000e+00
18, 7.499999999999e-02, 7.499999999999e-02, 0.000000000000e+00, 1.051468476830e-07, -1.455055940058e-07, -9.122881779150e-08, 9.256028249130e-08, -1.278928962491e-07, -9.999999999998e+05, 1.000000000000e-02, -1.746067128069e-14, -1.094745813498e-14, 1.000000000000e-02, -1.534714754989e-14, -4.999999999999e-02, 0.000000000000e+00
19, 9.999999999997e-02, 7.500000000000e-02, 0.000000000000e+00, -5.631362546550e-07, -6.042152437017e-08, 1.012652222844e-07, -2.633960612940e-07, -1.039524170131e-07, -1.000000000000e+06, 9.999999999975e-03, -7.250582924420e-15, 1.215182667412e-14, 9.999999999993e-03, -1.247429004158e-14, -4.999999999999e-02, 0.000000000000e+00
20, 0.000000000000e+00, 1.000000000000e-01, 0.000000000000e+00, -4.027367593483e-07, -4.901957114600e-08, 1.676367710778e-08, 9.046586520787e-07, -2.102934404122e-07, -1.000000000000e+06, 9.999999999971e-03, -5.882348537520e-15, 2.011641252934e-15, 1.000000000005e-02, -2.523521284947e-14, -5.000000000001e-02, 0.000000000000e+00
21, 2.499999999994e-02, 9.999999999998e-02, 0.000000000000e+00, 1.581894006705e-07, -2.223505646405e-07, 3.531250213732e-07, -5.161806533561e-07, 8.331112935403e-08, -1.000000000000e+06, 1.000000000002e-02, -2.668206775686e-14, 4.237500256478e-14, 9.999999999977e-03, 9.997335522483e-15, -5.000000000002e-02, 0.000000000000e+00
22, 5.000000000000e-02, 1.000000000000e-01, 0.000000000000e+00, 3.690331887971e-08, 2.629691610980e-07, -1.414984734628e-07, 7.585431703854e-07, -2.144957809411e-07, -1.000000000000e+06, 9.999999999998e-03, 3.155629933176e-14, -1.697981681553e-14, 1.000000000004e-02, -2.573949371293e-14, -5.000000000002e-02, 0.000000000000e+00
23, 7.500000000000e-02, 9.999999999997e-02, 0.000000000000e+00, -2.093516460776e-07, -1.092820312418e-07, -6.129391690738e-08, -4.186967607566e-07, 6.402320389169e-08, -1.000000000000e+06, 9.999999999994e-03, -1.311384374902e-14, -7.355270028885e-15, 9.999999999981e-03, 7.682784467003e-15, -5.000000000000e-02, 0.000000000000e+00
24, 1.000000000000e-01, 1.000000000000e-01, 0.000000000000e+00, 8.137247309502e-07, 7.032483537035e-07, -4.406376504242e-07, 9.214472750202e-07, -4.908961805528e-07, -1.000000000001e+06, 1.000000000004e-02, 8.438980244443e-14, -5.287651805090e-14, 1.000000000005e-02, -5.890754166633e-14, -5.000000000007e-02, 0.000000000000e+00
25, 0.000000000000e+00, 0.000000000000e+00, -1.250000000000e-01, 8.959194511300e-08, 1.065921332341e-08, -9.263926556315e-08, 9.075814023053e-08, -9.449317842673e-08, -9.999999999991e+05, 9.999999999994e-03, 1.279105598809e-15, -1.111671186758e-14, 9.999999999994e-03, -1.133918141121e-14, -4.999999999996e-02, 0.000000000000e+00
26, 2.499999999999e-02, 0.000000000000e+00, -1.250000000000e-01, -4.318805371261e-08, 4.511160099364e-08, -5.974011493604e-08, 1.029690220757e-08, -1.306781761565e-07, -1.000000000000e+06, 9.999999999999e-03, 5.413392119236e-15, -7.168813792325e-15, 1.000000000000e-02, -1.568138113878e-14, -5.000000000000e-02, 0.000000000000e+00
27, 4.999999999999e-02, 0.000000000000e+00, -1.250000000000e-01, 2.177940837562e-08, 6.852753370094e-08, -3.694049431967e-08, 4.019740161464e-08, 1.274334434871e-07, -9.999999999995e+05, 9.999999999996e-03, 8.223304044113e-15, -4.432859318360e-15, 9.999999999997e-03, 1.529201321846e-14, -4.999999999998e-02, 0.000000000000e+00
28, 7.500000000001e-02, 0.000000000000e+00, -1.250000000000e-01, 9.445932559825e-08, -9.637234010601e-08, -8.685674506317e-09, -5.448991385218e-07, -3.851537262483e-07, -1.000000000000e+06, 1.000000000001e-02, -1.156468081272e-14, -1.042280940758e-15, 9.999999999975e-03, -4.621844714979e-14, -5.000000000001e-02, 0.000000000000e+00
29, 9.999999999999e-02, 0.000000000000e+00, -1.250000000000e-01, -5.585404594982e-07, -1.837699999152e-07, 2.271600121455e-08, -1.088510128438e-07, 1.084866031166e-07, -9.999999999999e+05, 9.999999999972e-03, -2.205239998982e-14, 2.725920145746e-15, 9.999999999999e-03, 1.301839237399e-14, -4.999999999999e-02, 0.000000000000e+00
