#Dirchilet BC  (from fault_mech_LIQUID_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  231
#Node index, name, x, y, z,   value: 
1516   2.625652668946e+02 0.000000000000e+00 -7.245760925426e+02 1.000000000000e+08
1517   2.392729743321e+02 0.000000000000e+00 -7.199779852564e+02 1.000000000000e+08
1518   2.447702468680e+02 0.000000000000e+00 -7.407572491256e+02 1.000000000000e+08
1519   2.195624235935e+02 0.000000000000e+00 -7.177392488634e+02 1.000000000000e+08
1520   2.008038728170e+02 0.000000000000e+00 -7.164666812457e+02 1.000000000000e+08
1521   1.823765104619e+02 0.000000000000e+00 -7.159885334198e+02 1.000000000000e+08
1522   1.636584769825e+02 0.000000000000e+00 -7.164287063321e+02 1.000000000000e+08
1523   1.443844571482e+02 0.000000000000e+00 -7.167420312449e+02 1.000000000000e+08
1524   1.250452505507e+02 0.000000000000e+00 -7.164773785472e+02 1.000000000000e+08
1525   1.060192408193e+02 0.000000000000e+00 -7.162320566920e+02 1.000000000000e+08
1526   8.727547069515e+01 0.000000000000e+00 -7.162138047116e+02 1.000000000000e+08
1527   6.846645352503e+01 0.000000000000e+00 -7.167885024074e+02 1.000000000000e+08
1528   4.883326774296e+01 0.000000000000e+00 -7.177826833752e+02 1.000000000000e+08
1529   3.828869727189e+01 0.000000000000e+00 -7.382634191269e+02 1.000000000000e+08
1530   3.817133077721e+01 0.000000000000e+00 -7.650312936872e+02 1.000000000000e+08
1531   1.820721493553e+01 0.000000000000e+00 -7.512517965877e+02 1.000000000000e+08
1532   2.172763143255e+02 0.000000000000e+00 -7.688341947317e+02 1.000000000000e+08
1533   2.304094692905e+02 0.000000000000e+00 -7.546979335537e+02 1.000000000000e+08
1534   2.255439416314e+02 0.000000000000e+00 -7.361854853272e+02 1.000000000000e+08
1535   2.071284946673e+02 0.000000000000e+00 -7.331770231058e+02 1.000000000000e+08
1536   1.897341203407e+02 0.000000000000e+00 -7.312105683695e+02 1.000000000000e+08
1537   2.119371696547e+02 0.000000000000e+00 -7.508325309656e+02 1.000000000000e+08
1538   1.948930893897e+02 0.000000000000e+00 -7.466734117203e+02 1.000000000000e+08
1539   1.961679535540e+02 0.000000000000e+00 -7.654654468385e+02 1.000000000000e+08
1540   1.727027324329e+02 0.000000000000e+00 -7.310570768481e+02 1.000000000000e+08
1541   1.801871247312e+02 0.000000000000e+00 -7.438563459034e+02 1.000000000000e+08
1542   1.839048593238e+02 0.000000000000e+00 -7.554858597719e+02 1.000000000000e+08
1543   1.746468570794e+02 0.000000000000e+00 -7.675463302555e+02 1.000000000000e+08
1544   1.538442587620e+02 0.000000000000e+00 -7.339232385776e+02 1.000000000000e+08
1545   1.661616497931e+02 0.000000000000e+00 -7.447814934494e+02 1.000000000000e+08
1546   1.734364846403e+02 0.000000000000e+00 -7.538301259325e+02 1.000000000000e+08
1547   1.338581527185e+02 0.000000000000e+00 -7.326805642076e+02 1.000000000000e+08
1548   1.148387632735e+02 0.000000000000e+00 -7.322132027397e+02 1.000000000000e+08
1549   9.648732224601e+01 0.000000000000e+00 -7.314659782845e+02 1.000000000000e+08
1550   7.889066995234e+01 0.000000000000e+00 -7.317833554597e+02 1.000000000000e+08
1551   6.066614534680e+01 0.000000000000e+00 -7.339873239078e+02 1.000000000000e+08
1552   5.684005785411e+01 0.000000000000e+00 -7.524552736297e+02 1.000000000000e+08
1553   5.984225830203e+01 0.000000000000e+00 -7.702682487185e+02 1.000000000000e+08
1554   7.281059099024e+01 0.000000000000e+00 -7.465526453230e+02 1.000000000000e+08
