"TIME", "TEMPERATURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_XY", "STRESS_YY", "STRESS_ZZ", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY", "STRAIN_ZZ", "STRAIN_PLS"
0.000000000000e+00, 2.981500000000e+02, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925341706142e-09, -2.345681348852e+05, 1.016718708423e-05, -2.110730679880e+06, -2.110730679987e+06, 9.530905729115e-05, 1.032986207758e-15, 5.421604923520e-15, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925340232366e-09, -3.225312320837e+05, 1.616428330676e-05, -2.143264976043e+06, -2.143264976194e+06, 9.249327420082e-05, 1.642291183966e-15, 7.674407353129e-15, 0.000000000000e+00, 0.000000000000e+00
3.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925339164637e-09, -3.940010124545e+05, 1.945764469965e-05, -2.169699004370e+06, -2.169699004543e+06, 9.020545799808e-05, 1.976896701484e-15, 8.791345104580e-15, 0.000000000000e+00, 0.000000000000e+00
4.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925338363300e-09, -4.551632243663e+05, 2.142613393335e-05, -2.192320644376e+06, -2.192320644560e+06, 8.824759694586e-05, 2.176895207628e-15, 9.391561166640e-15, 0.000000000000e+00, 0.000000000000e+00
5.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925337746034e-09, -5.093023272905e+05, 2.266219070471e-05, -2.212344696133e+06, -2.212344696324e+06, 8.651455234692e-05, 2.302478575599e-15, 9.740725181197e-15, 0.000000000000e+00, 0.000000000000e+00
6.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925337257974e-09, -5.583276684215e+05, 2.346708756742e-05, -2.230477356545e+06, -2.230477356741e+06, 8.494520416663e-05, 2.384256096849e-15, 9.956052135397e-15, 0.000000000000e+00, 0.000000000000e+00
7.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925336857409e-09, -6.034369686741e+05, 2.401831611929e-05, -2.247161618279e+06, -2.247161618477e+06, 8.350121221000e-05, 2.440260917720e-15, 1.009741719819e-14, 0.000000000000e+00, 0.000000000000e+00
8.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925336523312e-09, -6.454304609915e+05, 2.441763683873e-05, -2.262693457900e+06, -2.262693458101e+06, 8.215696025315e-05, 2.480831902815e-15, 1.019991429971e-14, 0.000000000000e+00, 0.000000000000e+00
9.000000000000e-01, 3.080000000000e+02, 0.000000000000e+00, -3.925336237756e-09, -6.848711116744e+05, 2.473893228666e-05, -2.277281095822e+06, -2.277281096024e+06, 8.089442720496e-05, 2.513475520325e-15, 1.028075711765e-14, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+00, 3.080000000000e+02, 0.000000000000e+00, -3.925335991054e-09, -7.221718131185e+05, 2.498594229792e-05, -2.291077245669e+06, -2.291077245873e+06, 7.970039598392e-05, 2.538571737468e-15, 1.034689857840e-14, 0.000000000000e+00, 0.000000000000e+00
