"TIME", "PRESSURE1", "VELOCITY_X1", "VELOCITY_Y1", "VELOCITY_Z1"
0.000000000000e+00, 1.235750000000e+06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+06, 1.693376692629e+06, 5.486349103821e-11, 4.060506504927e-08, 2.260380213790e-10
2.000000000000e+06, 1.707754499664e+06, 4.475067412455e-11, 2.787855557613e-08, 2.007148529735e-10
3.000000000000e+06, 1.710005214894e+06, 4.029372010542e-11, 2.569437404984e-08, 1.877920004277e-10
4.000000000000e+06, 1.710492040371e+06, 3.901670857058e-11, 2.521781162493e-08, 1.845265045097e-10
5.000000000000e+06, 1.710604963480e+06, 3.868544936705e-11, 2.510708765904e-08, 1.837461902622e-10
