"TIME", "TEMPERATURE1"
0.000000000000e+00, 2.500000000000e+01
1.000000000000e+03, 2.500000000000e+01
2.000000000000e+03, 2.500000000000e+01
3.000000000000e+03, 2.499999999999e+01
4.000000000000e+03, 2.499999999999e+01
5.000000000000e+03, 2.499999999999e+01
6.000000000000e+03, 2.499999999999e+01
7.000000000000e+03, 2.499999999999e+01
8.000000000000e+03, 2.499999999999e+01
9.000000000000e+03, 2.499999999999e+01
1.000000000000e+04, 2.499999999999e+01
1.100000000000e+04, 2.499999999999e+01
1.200000000000e+04, 2.499999999999e+01
1.300000000000e+04, 2.499999999999e+01
1.400000000000e+04, 2.499999999999e+01
1.500000000000e+04, 2.500000000000e+01
1.600000000000e+04, 2.500000000000e+01
1.700000000000e+04, 2.500000000000e+01
1.800000000000e+04, 2.500000000000e+01
1.900000000000e+04, 2.500000000000e+01
2.000000000000e+04, 2.500000000000e+01
2.100000000000e+04, 2.500000000000e+01
2.200000000000e+04, 2.500000000000e+01
2.300000000000e+04, 2.500000000000e+01
2.400000000000e+04, 2.500000000000e+01
2.500000000000e+04, 2.500000000000e+01
2.600000000000e+04, 2.500000000000e+01
2.700000000000e+04, 2.500000000000e+01
2.800000000000e+04, 2.500000000000e+01
2.900000000000e+04, 2.500000000000e+01
3.000000000000e+04, 2.500000000000e+01
3.100000000000e+04, 2.500000000000e+01
3.200000000000e+04, 2.500000000000e+01
3.300000000000e+04, 2.500000000001e+01
3.400000000000e+04, 2.500000000001e+01
3.500000000000e+04, 2.500000000003e+01
3.600000000000e+04, 2.500000000004e+01
3.700000000000e+04, 2.500000000007e+01
3.800000000000e+04, 2.500000000011e+01
3.900000000000e+04, 2.500000000018e+01
4.000000000000e+04, 2.500000000028e+01
4.100000000000e+04, 2.500000000043e+01
4.200000000000e+04, 2.500000000064e+01
4.300000000000e+04, 2.500000000094e+01
4.400000000000e+04, 2.500000000138e+01
4.500000000000e+04, 2.500000000198e+01
4.600000000000e+04, 2.500000000282e+01
4.700000000000e+04, 2.500000000396e+01
4.800000000000e+04, 2.500000000551e+01
