"TIME", "TEMPERATURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "DISPLACEMENT_Z1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XZ", "STRESS_YZ", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY", "STRAIN_ZZ", "STRAIN_XZ", "STRAIN_YZ", "STRAIN_PLS"
0.000000000000e+00, 2.981500000000e+02, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e-01, 2.984822033256e+02, 2.006566527343e-14, -1.007900089394e-05, -3.768180958771e-09, -2.247789603845e+05, -4.231844839931e+05, -2.247727723328e+05, -6.814691664448e-04, -4.154808033990e-04, -9.345281198629e-14, -3.151747507007e-14, -1.007900069277e-05, 3.142595781310e-10, -6.923726731080e-14, -4.221284962533e-14, 0.000000000000e+00
2.000000000000e-01, 2.983270400065e+02, 2.786452409566e-14, -1.324823277672e-05, -3.768024907380e-09, -2.108003578116e+05, -4.715923317674e+05, -2.107941651281e+05, -9.308277430896e-04, -9.803174067708e-04, -1.071285499806e-13, -4.570945333234e-14, -1.324823238408e-05, 3.144811952559e-10, -9.457209869791e-14, -9.960024852792e-14, 0.000000000000e+00
3.000000000000e-01, 2.981995823603e+02, 3.085043425101e-14, -1.604516687927e-05, -3.767863363964e-09, -2.015545875792e+05, -5.174043158410e+05, -2.015483908575e+05, -1.020780659269e-03, -1.654777907823e-03, -1.089942183103e-13, -5.217644810061e-14, -1.604516630469e-05, 3.146844683506e-10, -1.037113149817e-13, -1.681254354349e-13, 0.000000000000e+00
4.000000000000e-01, 2.980968312407e+02, 3.198955251117e-14, -1.850896577991e-05, -3.767697459401e-09, -1.965161621565e+05, -5.608658653582e+05, -1.965099617862e+05, -1.052850735473e-03, -2.404907464410e-03, -1.091424723614e-13, -5.508140116955e-14, -1.850896503179e-05, 3.148696690878e-10, -1.069696347241e-13, -2.443385983841e-13, 0.000000000000e+00
5.000000000000e-01, 2.980161007023e+02, 3.241035142717e-14, -2.067471336392e-05, -3.767528123805e-09, -1.952145982637e+05, -6.021971246576e+05, -1.952083945792e+05, -1.063977686172e-03, -3.204368359302e-03, -1.090580623350e-13, -5.638337079075e-14, -2.067471244987e-05, 3.150381124401e-10, -1.081001329150e-13, -3.255638253051e-13, 0.000000000000e+00
