"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
0.000000000000e+00, 1.000000000000e+03, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e-03, 0.000000000000e+00, -4.436950415878e-08, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.076757794714e-12, -9.000000000000e-07, 6.146358929592e-22, 2.584218707313e-21
4.000000000000e-03, 0.000000000000e+00, -6.465401779089e-08, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.448129292328e-12, -9.000000000000e-07, 5.214256267014e-22, 3.475510301587e-21
6.000000000000e-03, 0.000000000000e+00, -8.030196421444e-08, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.296057038284e-12, -9.000000000000e-07, 1.542422278225e-22, 3.110536891882e-21
8.000000000000e-03, 0.000000000000e+00, -9.343290063651e-08, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.379797984295e-12, -9.000000000000e-07, 3.183760678378e-22, 3.311515162309e-21
1.000000000000e-02, 0.000000000000e+00, -1.049557251472e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 6.566079440496e-13, -9.000000000000e-07, 2.525322180276e-21, 1.575859065719e-21
1.200000000000e-02, 0.000000000000e+00, -1.153421532301e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.430273771199e-12, -9.000000000000e-07, 5.061641915647e-22, 3.432657050878e-21
1.400000000000e-02, 0.000000000000e+00, -1.248721995180e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.493412988481e-12, -9.000000000000e-07, 4.533620333379e-22, 3.584191172353e-21
1.600000000000e-02, 0.000000000000e+00, -1.337273742959e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.431237344420e-12, -9.000000000000e-07, 4.163949383819e-22, 3.434969626608e-21
1.800000000000e-02, 0.000000000000e+00, -1.420337013607e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 9.327721178598e-13, -9.000000000000e-07, 1.689667950317e-21, 2.238653082864e-21
