"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
0.000000000000e+00, 1.000000000000e+03, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e-03, 9.999863840276e+02, -5.952413236195e-13, 0.000000000000e+00, -1.361597238375e-02, -3.403993094275e-03, -3.403993095604e-03, 1.012737580243e-14, -1.225437514577e-11, 1.595649090227e-21, 2.430570192583e-23
4.000000000000e-03, 9.998999621013e+02, -4.677061397089e-12, 0.000000000000e+00, -1.000378987012e-01, -2.500947467394e-02, -2.500947467503e-02, 2.043217506145e-13, -9.003410883142e-11, 1.311218067743e-21, 4.903722014747e-22
6.000000000000e-03, 9.996145574718e+02, -1.927094810647e-11, 0.000000000000e+00, -3.854425281690e-01, -9.636063204122e-02, -9.636063204205e-02, 1.863177598715e-13, -3.468982753524e-10, 9.922770702160e-22, 4.471626236916e-22
8.000000000000e-03, 9.989533071363e+02, -5.588989037191e-11, 0.000000000000e+00, -1.046692863695e+00, -2.616732159231e-01, -2.616732159236e-01, 1.762904812488e-13, -9.420235773257e-10, 6.592219408211e-22, 4.230971549971e-22
1.000000000000e-02, 9.977320632146e+02, -1.291493586154e-10, 0.000000000000e+00, -2.267936785432e+00, -5.669841963594e-01, -5.669841963583e-01, 4.210945094098e-13, -2.041143106889e-09, -1.353615241186e-21, 1.010626822584e-21
1.200000000000e-02, 9.958002601487e+02, -2.547676388917e-10, 0.000000000000e+00, -4.199739851281e+00, -1.049934962820e+00, -1.049934962820e+00, 1.943627658115e-13, -3.779765866153e-09, 1.714266512430e-22, 4.664706379477e-22
1.400000000000e-02, 9.930684335046e+02, -4.471715261026e-10, 0.000000000000e+00, -6.931566495365e+00, -1.732891623841e+00, -1.732891623841e+00, 1.446789505819e-13, -6.238409845829e-09, 2.961279565304e-22, 3.472294813967e-22
1.600000000000e-02, 9.895107321911e+02, -7.181311913076e-10, 0.000000000000e+00, -1.048926780889e+01, -2.622316952222e+00, -2.622316952222e+00, 1.336985147900e-13, -9.440341027999e-09, 3.126753522002e-22, 3.208764354961e-22
1.800000000000e-02, 9.851552261398e+02, -1.075958606121e-09, 0.000000000000e+00, -1.484477386015e+01, -3.711193465040e+00, -3.711193465039e+00, 3.397707525893e-13, -1.336029647414e-08, -2.233115309146e-21, 8.154498062142e-22
