"TIME", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_XY", "STRESS_YY", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY"
0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e+00, 4.800000000000e-02, -9.600000000000e-02, -4.911804306593e-08, -4.299155120314e-09, -2.000000000001e+05, 2.399999999999e-03, -5.158986144377e-16, -9.600000000003e-03
4.000000000000e+00, 9.600000000000e-02, -1.920000000000e-01, -1.249926607345e-08, -2.440069075363e-09, -4.000000000000e+05, 4.799999999999e-03, -2.928082890436e-16, -1.920000000000e-02
6.000000000000e+00, 1.440000000000e-01, -2.880000000000e-01, -2.092870144629e-08, 6.313978852133e-09, -6.000000000000e+05, 7.199999999999e-03, 7.576774622560e-16, -2.880000000000e-02
8.000000000000e+00, 1.920000000000e-01, -3.840000000000e-01, -2.190406887959e-08, -2.833353268678e-09, -8.000000000000e+05, 9.599999999999e-03, -3.400023922414e-16, -3.840000000000e-02
1.000000000000e+01, 2.400000000000e-01, -4.800000000000e-01, -2.096246804453e-08, -2.479455120447e-09, -1.000000000000e+06, 1.200000000000e-02, -2.975346144536e-16, -4.800000000000e-02
