NodeID, PRESSURE1
0, 2.000000000000e+06
1, 2.025873433920e+06
2, 2.025873433920e+06
3, 2.000000000000e+06
4, 2.025873433920e+06
5, 2.000000000000e+06
6, 2.025873433920e+06
7, 2.000000000000e+06
8, 2.025873433920e+06
9, 2.000000000000e+06
10, 2.025873433920e+06
11, 2.000000000000e+06
12, 2.051746867840e+06
13, 2.051746867840e+06
14, 2.051746867840e+06
15, 2.051746867840e+06
16, 2.051746867840e+06
17, 2.051746867840e+06
18, 2.077620301760e+06
19, 2.077620301760e+06
20, 2.077620301760e+06
21, 2.077620301760e+06
22, 2.077620301760e+06
23, 2.077620301760e+06
24, 2.103493735680e+06
25, 2.103493735680e+06
26, 2.103493735680e+06
27, 2.103493735680e+06
28, 2.103493735680e+06
29, 2.103493735680e+06
30, 2.129367169601e+06
31, 2.129367169601e+06
32, 2.129367169601e+06
33, 2.129367169601e+06
34, 2.129367169601e+06
35, 2.129367169601e+06
