VELOCITY1_X, VELOCITY1_Y, VELOCITY1_Z
1.414213562381e-03, 0.000000000000e+00, 1.414213562381e-03
1.414213562383e-03, 0.000000000000e+00, 1.414213562383e-03
1.414213562361e-03, 0.000000000000e+00, 1.414213562361e-03
1.414213562353e-03, 0.000000000000e+00, 1.414213562353e-03
1.414213562371e-03, 0.000000000000e+00, 1.414213562371e-03
1.414213562390e-03, 0.000000000000e+00, 1.414213562390e-03
