"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+05, 0.000000000000e+00
1.000000000000e+05, 1.090000000000e+05, 8.855813329098e-22
2.000000000000e+05, 1.090000000000e+05, -5.091144741317e-20
3.000000000000e+05, 1.090000000000e+05, 1.349767891116e-18
4.000000000000e+05, 1.090000000000e+05, -2.179770453614e-17
5.000000000000e+05, 1.090000000000e+05, 2.382931196615e-16
6.000000000000e+05, 1.090000000000e+05, -1.849996763116e-15
7.000000000000e+05, 1.090000000000e+05, 1.037213352328e-14
8.000000000000e+05, 1.090000000000e+05, -4.157310968719e-14
9.000000000000e+05, 1.090000000000e+05, 1.132474760398e-13
1.000000000000e+06, 1.090000000000e+05, -1.777585929588e-13
1.100000000000e+06, 1.090000000000e+05, 3.709724903535e-14
1.200000000000e+06, 1.090000000000e+05, 3.949557198352e-13
1.300000000000e+06, 1.090000000000e+05, -3.822666254713e-13
1.400000000000e+06, 1.090000000000e+05, -8.655086451498e-13
1.500000000000e+06, 1.090000000000e+05, 9.642425013734e-13
1.600000000000e+06, 1.090000000000e+05, 2.496852095210e-12
1.700000000000e+06, 1.090000000000e+05, -1.075368578673e-12
1.800000000000e+06, 1.090000000000e+05, -7.280886993016e-12
1.900000000000e+06, 1.090000000000e+05, -4.431328755033e-12
2.000000000000e+06, 1.090000000000e+05, 1.372756628315e-11
2.100000000000e+06, 1.090000000000e+05, 2.990770647801e-11
2.200000000000e+06, 1.090000000000e+05, 8.455792215082e-12
2.300000000000e+06, 1.090000000000e+05, -6.487934857194e-11
2.400000000000e+06, 1.090000000000e+05, -1.353357326323e-10
2.500000000000e+06, 1.090000000000e+05, -7.961998428752e-11
2.600000000000e+06, 1.090000000000e+05, 2.027010320298e-10
2.700000000000e+06, 1.090000000000e+05, 6.282199579749e-10
2.800000000000e+06, 1.090000000000e+05, 8.070828985262e-10
2.900000000000e+06, 1.090000000000e+05, 1.196269678616e-10
3.000000000000e+06, 1.090000000000e+05, -1.884799897455e-09
3.100000000000e+06, 1.090000000000e+05, -4.799124388065e-09
3.200000000000e+06, 1.090000000000e+05, -6.658277164148e-09
3.300000000000e+06, 1.090000000000e+05, -3.759346606640e-09
3.400000000000e+06, 1.090000000000e+05, 8.328182478929e-09
3.500000000000e+06, 1.090000000000e+05, 3.200298954106e-08
3.600000000000e+06, 1.090000000000e+05, 6.302656061247e-08
3.700000000000e+06, 1.090000000000e+05, 8.483168670313e-08
3.800000000000e+06, 1.090000000000e+05, 6.371614454345e-08
3.900000000000e+06, 1.090000000000e+05, -5.166343848845e-08
4.000000000000e+06, 1.090000000000e+05, -3.215988814372e-07
4.100000000000e+06, 1.090000000000e+05, -7.912496245641e-07
4.200000000000e+06, 1.090000000000e+05, -1.444124716107e-06
4.300000000000e+06, 1.090000000000e+05, -2.125855395975e-06
4.400000000000e+06, 1.090000000000e+05, -2.431541758312e-06
4.500000000000e+06, 1.090000000000e+05, -1.551348572688e-06
4.600000000000e+06, 1.090000000000e+05, 1.928784458834e-06
4.700000000000e+06, 1.090000000000e+05, 1.027159210989e-05
4.800000000000e+06, 1.090000000000e+05, 2.687504021666e-05
4.900000000000e+06, 1.090000000000e+05, 5.659440232544e-05
5.000000000000e+06, 1.090000000000e+05, 1.060898105165e-04
5.100000000000e+06, 1.090000000000e+05, 1.841861330317e-04
5.200000000000e+06, 1.090000000000e+05, 3.022295398242e-04
5.300000000000e+06, 1.090000000000e+05, 4.744234381791e-04
5.400000000000e+06, 1.090000000000e+05, 7.181257315528e-04
5.500000000000e+06, 1.090000000000e+05, 1.054089640202e-03
5.600000000000e+06, 1.090000000000e+05, 1.506631612652e-03
5.700000000000e+06, 1.090000000000e+05, 2.103712074817e-03
5.800000000000e+06, 1.090000000000e+05, 2.876917772792e-03
5.900000000000e+06, 1.090000000000e+05, 3.861338085872e-03
6.000000000000e+06, 1.090000000000e+05, 5.095331709492e-03
6.100000000000e+06, 1.090000000000e+05, 6.620184312245e-03
6.200000000000e+06, 1.090000000000e+05, 8.479661938055e-03
6.300000000000e+06, 1.090000000000e+05, 1.071946885112e-02
6.400000000000e+06, 1.090000000000e+05, 1.338662203056e-02
6.500000000000e+06, 1.090000000000e+05, 1.652875747136e-02
6.600000000000e+06, 1.090000000000e+05, 2.019338573470e-02
6.700000000000e+06, 1.090000000000e+05, 2.442711574990e-02
6.800000000000e+06, 1.090000000000e+05, 2.927486667959e-02
6.900000000000e+06, 1.090000000000e+05, 3.477908773081e-02
7.000000000000e+06, 1.090000000000e+05, 4.097900517368e-02
7.100000000000e+06, 1.090000000000e+05, 4.790991458640e-02
7.200000000000e+06, 1.090000000000e+05, 5.560253457216e-02
7.300000000000e+06, 1.090000000000e+05, 6.408243599437e-02
7.400000000000e+06, 1.090000000000e+05, 7.336955826285e-02
7.500000000000e+06, 1.090000000000e+05, 8.347782148862e-02
7.600000000000e+06, 1.090000000000e+05, 9.441484051741e-02
7.700000000000e+06, 1.090000000000e+05, 1.061817440532e-01
7.800000000000e+06, 1.090000000000e+05, 1.187730993842e-01
7.900000000000e+06, 1.090000000000e+05, 1.321769407011e-01
8.000000000000e+06, 1.090000000000e+05, 1.463748967125e-01
8.100000000000e+06, 1.090000000000e+05, 1.613424112656e-01
8.200000000000e+06, 1.090000000000e+05, 1.770490489996e-01
8.300000000000e+06, 1.090000000000e+05, 1.934588767174e-01
8.400000000000e+06, 1.090000000000e+05, 2.105309101585e-01
8.500000000000e+06, 1.090000000000e+05, 2.282196151903e-01
8.600000000000e+06, 1.090000000000e+05, 2.464754520889e-01
8.700000000000e+06, 1.090000000000e+05, 2.652454515293e-01
8.800000000000e+06, 1.090000000000e+05, 2.844738111172e-01
8.900000000000e+06, 1.090000000000e+05, 3.041025017469e-01
