"TIME", "CONCENTRATION0"
0.000000000000e+00, 1.000000000000e+00
1.000000000000e-02, 2.680532288912e-01
2.000000000000e-02, 7.393210429646e-02
3.000000000000e-02, 2.710624037748e-02
4.000000000000e-02, 8.557723031644e-03
5.000000000000e-02, 3.604449349232e-03
6.000000000000e-02, 1.601547503053e-03
7.000000000000e-02, 6.409635692263e-04
8.000000000000e-02, 3.677260205075e-04
9.000000000000e-02, 1.400753488969e-04
1.000000000000e-01, 7.356323187751e-05
