"TIME", "CONCENTRATION0"
0.000000000000e+00, 1.000000000000e+00
1.000000000000e-02, 9.422879080710e-01
2.000000000000e-02, 9.796242537679e-01
3.000000000000e-02, 9.930860385610e-01
4.000000000000e-02, 9.970999181989e-01
5.000000000000e-02, 9.989347747129e-01
6.000000000000e-02, 9.995072304894e-01
7.000000000000e-02, 9.997100212374e-01
8.000000000000e-02, 9.998804050624e-01
9.000000000000e-02, 9.999227391648e-01
1.000000000000e-01, 9.999231624716e-01
