NodeID, PRESSURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRESS_XZ, STRESS_YZ, STRAIN_XX, STRAIN_YY, STRAIN_ZZ, STRAIN_XY, STRAIN_XZ, STRAIN_YZ
0, 2.943000000000e+05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -8.237953804501e-12, -2.528087434989e-11, -6.614206178878e-12, 3.531181715675e-19, -5.056233659939e-20, -3.678750000000e-05, -2.059488451125e-21, -6.320218587473e-21, -1.653551544719e-21
1, 2.943000000000e+05, -6.431499240322e-19, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 2.754868612995e-09, 5.435873320290e-10, -1.153442447110e-11, -1.570893835524e-19, -7.630511264285e-20, -3.678750000000e-05, 6.887171532487e-19, 1.358968330072e-19, -2.883606117774e-21
2, 2.943000000000e+05, -6.310244333744e-20, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -5.243975369775e-10, 6.139365377382e-11, -9.226116074710e-11, 4.910907214192e-20, 2.793008183657e-21, -3.678750000000e-05, -1.310993842444e-19, 1.534841344346e-20, -2.306529018678e-20
3, 2.943000000000e+05, -3.240103353920e-19, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 8.328705233966e-10, -1.562973993959e-09, -7.241968998673e-11, -4.925760056704e-20, 2.912563468987e-19, -3.678750000000e-05, 2.082176308491e-19, -3.907434984898e-19, -1.810492249668e-20
4, 2.943000000000e+05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -9.829147731393e-11, -2.719236233982e-10, 8.118491092879e-11, -3.864234761236e-20, 1.437434819642e-19, -3.678750000000e-05, -2.457286932848e-20, -6.798090584956e-20, 2.029622773220e-20
5, 2.943000000000e+05, 0.000000000000e+00, -4.020659748882e-20, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -8.298314948462e-10, -1.253612090548e-11, 1.704716978829e-10, 3.350500349114e-19, -4.619041804209e-21, -3.678750000000e-05, -2.074578737115e-19, -3.134030226369e-21, 4.261792447072e-20
6, 2.943000000000e+05, -5.887157837104e-19, 3.944146627053e-20, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -7.434033493416e-10, 9.914770766160e-10, -1.320414395612e-09, -1.707667223554e-20, -1.376559552429e-20, -3.678750000000e-05, -1.858508373354e-19, 2.478692691540e-19, -3.301035989030e-19
7, 2.943000000000e+05, -4.734026316974e-20, 7.560108026776e-20, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 7.392784750704e-10, -5.835654469566e-10, -5.869182541382e-10, -2.192508824113e-19, -5.696387333790e-20, -3.678750000000e-05, 1.848196187676e-19, -1.458913617392e-19, -1.467295635345e-19
8, 2.943000000000e+05, -1.362616433003e-19, -5.639996128681e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 3.033785042853e-10, -1.731391036771e-10, -4.771865307641e-11, 5.953205767088e-20, 1.746206898503e-20, -3.678750000000e-05, 7.584462607131e-20, -4.328477591928e-20, -1.192966326910e-20
9, 2.943000000000e+05, 0.000000000000e+00, -2.833614241150e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -3.620599941301e-09, -1.187550672286e-10, -2.587516929145e-09, 1.854095904063e-20, 1.632645531656e-19, -3.678750000000e-05, -9.051499853252e-19, -2.968876680715e-20, -6.468792322864e-19
10, 2.943000000000e+05, 0.000000000000e+00, -1.296357458875e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -6.856601100464e-10, -2.357799533972e-10, 4.498380668237e-10, 1.414604948537e-19, 6.608509655056e-20, -3.678750000000e-05, -1.714150275116e-19, -5.894498834930e-20, 1.124595167059e-19
11, 2.943000000000e+05, -3.669913372621e-19, 1.528080852888e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 6.827378268159e-10, 1.711332620599e-09, 4.183812811829e-10, 3.865532297636e-20, 1.942205869845e-20, -3.678750000000e-05, 1.706844567040e-19, 4.278331551496e-19, 1.045953202957e-19
12, 2.943000000000e+05, -4.406521700299e-19, -5.555894552498e-20, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 1.822099480938e-09, 1.235587966337e-09, -5.012012356995e-10, -4.477828672102e-20, 1.427842364247e-19, -3.678750000000e-05, 4.555248702345e-19, 3.088969915844e-19, -1.253003089249e-19
13, 2.943000000000e+05, -6.019290091564e-19, -4.641279720873e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 2.709931888983e-09, 1.293949358455e-09, -3.783563111196e-10, 8.434682824470e-20, 8.394054801885e-20, -3.678750000000e-05, 6.774829722457e-19, 3.234873396137e-19, -9.458907777989e-20
14, 2.943000000000e+05, 0.000000000000e+00, -5.412867401009e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -4.157387574599e-09, -2.436747111935e-10, -1.121497655153e-10, -2.979082238538e-19, 9.927276001405e-22, -3.678750000000e-05, -1.039346893650e-18, -6.091867779838e-20, -2.803744137883e-20
15, 2.943000000000e+05, 0.000000000000e+00, -2.141052854259e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 9.628285589957e-10, 1.580003321846e-10, 2.078816831836e-10, 1.149209114109e-19, 1.210438708793e-20, -3.678750000000e-05, 2.407071397489e-19, 3.950008304615e-20, 5.197042079589e-20
16, 2.943000000000e+05, -4.326763207812e-19, -2.637616937617e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -1.488292293604e-09, 2.417675562760e-09, 1.123567043726e-09, 1.878067612157e-19, 2.046523007168e-19, -3.678750000000e-05, -3.720730734009e-19, 6.044188906900e-19, 2.808917609316e-19
17, 2.943000000000e+05, -6.294165104988e-19, -3.556866884429e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 9.673329806850e-10, 9.775258890909e-10, 1.602418520437e-09, -6.266822741461e-20, 4.263554713384e-20, -3.678750000000e-05, 2.418332451712e-19, 2.443814722727e-19, 4.006046301092e-19
18, 2.943000000000e+05, -5.569316697607e-19, -8.794823883886e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 2.073559272420e-09, 9.644201917757e-10, -1.098983609636e-09, -8.949220119749e-20, 2.658648332537e-20, -3.678750000000e-05, 5.183898181049e-19, 2.411050479439e-19, -2.747459024091e-19
19, 2.943000000000e+05, 0.000000000000e+00, -5.282001360239e-19, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -5.307401529006e-09, -9.319774021558e-11, -1.300940750853e-09, -1.862135766182e-19, -4.556450338917e-20, -3.678750000000e-05, -1.326850382251e-18, -2.329943505390e-20, -3.252351877133e-19
20, 2.943000000000e+05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, 2.202018981259e-10, -3.627441649311e-10, 2.665263643970e-10, 3.066729930650e-19, -9.657854706918e-20, -3.678750000000e-05, 5.505047453148e-20, -9.068604123278e-20, 6.663159109924e-20
21, 2.943000000000e+05, -5.376891392672e-19, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -5.683059620488e-10, -4.934299006698e-10, -2.340065816990e-10, 2.269029849406e-19, -3.443124151391e-19, -3.678750000000e-05, -1.420764905122e-19, -1.233574751675e-19, -5.850164542474e-20
22, 2.943000000000e+05, -7.498159511942e-19, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -2.159348995745e-09, -9.538430004834e-10, -4.374883569856e-11, -5.661340141348e-20, -2.597048286250e-19, -3.678750000000e-05, -5.398372489362e-19, -2.384607501208e-19, -1.093720892464e-20
23, 2.943000000000e+05, -6.922568966048e-19, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -1.685913854373e-09, -5.239751116114e-10, -2.020102897230e-10, -1.596168763083e-19, -5.472345475572e-19, -3.678750000000e-05, -4.214784635933e-19, -1.309937779029e-19, -5.050257243076e-20
24, 2.943000000000e+05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -1.471500000000e+05, -1.471500000000e+05, -4.414500000000e+05, -2.846372826735e-11, -3.680270160035e-11, -1.758534889483e-11, -3.280184075025e-19, -3.811290367175e-19, -3.678750000000e-05, -7.115932066838e-21, -9.200675400088e-21, -4.396337223707e-21
25, 2.207250000000e+05, 0.000000000000e+00, 0.000000000000e+00, -2.414179687500e-04, -1.103625000000e+05, -1.103625000000e+05, -3.310875000000e+05, 1.444643970165e-10, 6.643565078973e-09, 3.816509344154e-09, -8.768026069866e-20, -2.052145739092e-19, -2.759062500000e-05, 3.611609925411e-20, 1.660891269743e-18, 9.541273360385e-19
26, 2.207250000000e+05, -9.070766837353e-20, 0.000000000000e+00, -2.414179687500e-04, -1.103625000000e+05, -1.103625000000e+05, -3.310875000000e+05, 1.154995545359e-09, -1.427542644226e-09, 5.609537542584e-09, 7.879856877683e-20, -7.260065995638e-20, -2.759062500000e-05, 2.887488863397e-19, -3.568856610566e-19, 1.402384385646e-18
27, 2.207250000000e+05, 1.414395538924e-19, 0.000000000000e+00, -2.414179687500e-04, -1.103625000000e+05, -1.103625000000e+05, -3.310875000000e+05, 7.077370580293e-10, -8.800443740626e-10, 7.077728585790e-09, -1.532968988039e-19, -4.924131178874e-20, -2.759062500000e-05, 1.769342645073e-19, -2.200110935156e-19, 1.769432146447e-18
28, 2.207250000000e+05, 4.944455165613e-19, 0.000000000000e+00, -2.414179687500e-04, -1.103625000000e+05, -1.103625000000e+05, -3.310875000000e+05, -3.634430601153e-10, -1.441941845976e-09, 2.986574359089e-09, -8.816722893672e-20, 5.659174134241e-20, -2.759062500000e-05, -9.086076502882e-20, -3.604854614939e-19, 7.466435897721e-19
